alias	chrom	source
NW_003571060.1	chr19_GL949752v1_alt	refseq
GL949753.2	chr19_GL949753v2_alt	genbank
HSCHR19LRC_PGF2_CTG3_1	chr19_GL949753v2_alt	assembly
NW_003571061.2	chr19_GL949753v2_alt	refseq
HSCHR19_4_CTG2	chr19_KI270865v1_alt	assembly
KI270865.1	chr19_KI270865v1_alt	genbank
NT_187621.1	chr19_KI270865v1_alt	refseq
HSCHR19_2_CTG3_1	chr19_KI270866v1_alt	assembly
KI270866.1	chr19_KI270866v1_alt	genbank
NT_187619.1	chr19_KI270866v1_alt	refseq
HSCHR19_3_CTG3_1	chr19_KI270867v1_alt	assembly
KI270867.1	chr19_KI270867v1_alt	genbank
NT_187620.1	chr19_KI270867v1_alt	refseq
HSCHR19_5_CTG2	chr19_KI270868v1_alt	assembly
KI270868.1	chr19_KI270868v1_alt	genbank
NT_187622.1	chr19_KI270868v1_alt	refseq
HSCHR19KIR_FH15_B_HAP_CTG3_1	chr19_KI270882v1_alt	assembly
KI270882.1	chr19_KI270882v1_alt	genbank
NT_187636.1	chr19_KI270882v1_alt	refseq
HSCHR19KIR_G085_A_HAP_CTG3_1	chr19_KI270883v1_alt	assembly
KI270883.1	chr19_KI270883v1_alt	genbank
NT_187637.1	chr19_KI270883v1_alt	refseq
HSCHR19KIR_G085_BA1_HAP_CTG3_1	chr19_KI270884v1_alt	assembly
KI270884.1	chr19_KI270884v1_alt	genbank
NT_187638.1	chr19_KI270884v1_alt	refseq
HSCHR19KIR_G248_A_HAP_CTG3_1	chr19_KI270885v1_alt	assembly
KI270885.1	chr19_KI270885v1_alt	genbank
NT_187639.1	chr19_KI270885v1_alt	refseq
HSCHR19KIR_G248_BA2_HAP_CTG3_1	chr19_KI270886v1_alt	assembly
KI270886.1	chr19_KI270886v1_alt	genbank
NT_187640.1	chr19_KI270886v1_alt	refseq
HSCHR19KIR_GRC212_AB_HAP_CTG3_1	chr19_KI270887v1_alt	assembly
KI270887.1	chr19_KI270887v1_alt	genbank
NT_187641.1	chr19_KI270887v1_alt	refseq
HSCHR19KIR_GRC212_BA1_HAP_CTG3_1	chr19_KI270888v1_alt	assembly
KI270888.1	chr19_KI270888v1_alt	genbank
NT_187642.1	chr19_KI270888v1_alt	refseq
HSCHR19KIR_LUCE_A_HAP_CTG3_1	chr19_KI270889v1_alt	assembly
KI270889.1	chr19_KI270889v1_alt	genbank
NT_187643.1	chr19_KI270889v1_alt	refseq
HSCHR19KIR_LUCE_BDEL_HAP_CTG3_1	chr19_KI270890v1_alt	assembly
KI270890.1	chr19_KI270890v1_alt	genbank
NT_187644.1	chr19_KI270890v1_alt	refseq
HSCHR19KIR_RSH_A_HAP_CTG3_1	chr19_KI270891v1_alt	assembly
KI270891.1	chr19_KI270891v1_alt	genbank
NT_187645.1	chr19_KI270891v1_alt	refseq
HSCHR19KIR_RSH_BA2_HAP_CTG3_1	chr19_KI270914v1_alt	assembly
KI270914.1	chr19_KI270914v1_alt	genbank
NT_187668.1	chr19_KI270914v1_alt	refseq
HSCHR19KIR_T7526_A_HAP_CTG3_1	chr19_KI270915v1_alt	assembly
KI270915.1	chr19_KI270915v1_alt	genbank
NT_187669.1	chr19_KI270915v1_alt	refseq
HSCHR19KIR_T7526_BDEL_HAP_CTG3_1	chr19_KI270916v1_alt	assembly
KI270916.1	chr19_KI270916v1_alt	genbank
NT_187670.1	chr19_KI270916v1_alt	refseq
HSCHR19KIR_ABC08_A1_HAP_CTG3_1	chr19_KI270917v1_alt	assembly
KI270917.1	chr19_KI270917v1_alt	genbank
NT_187671.1	chr19_KI270917v1_alt	refseq
HSCHR19KIR_ABC08_AB_HAP_C_P_CTG3_1	chr19_KI270918v1_alt	assembly
KI270918.1	chr19_KI270918v1_alt	genbank
NT_187672.1	chr19_KI270918v1_alt	refseq
HSCHR19KIR_ABC08_AB_HAP_T_P_CTG3_1	chr19_KI270919v1_alt	assembly
KI270919.1	chr19_KI270919v1_alt	genbank
NT_187673.1	chr19_KI270919v1_alt	refseq
HSCHR19KIR_FH05_A_HAP_CTG3_1	chr19_KI270920v1_alt	assembly
KI270920.1	chr19_KI270920v1_alt	genbank
NT_187674.1	chr19_KI270920v1_alt	refseq
HSCHR19KIR_FH05_B_HAP_CTG3_1	chr19_KI270921v1_alt	assembly
KI270921.1	chr19_KI270921v1_alt	genbank
NT_187675.1	chr19_KI270921v1_alt	refseq
HSCHR19KIR_FH06_A_HAP_CTG3_1	chr19_KI270922v1_alt	assembly
KI270922.1	chr19_KI270922v1_alt	genbank
NT_187676.1	chr19_KI270922v1_alt	refseq
HSCHR19KIR_FH06_BA1_HAP_CTG3_1	chr19_KI270923v1_alt	assembly
KI270923.1	chr19_KI270923v1_alt	genbank
NT_187677.1	chr19_KI270923v1_alt	refseq
HSCHR19KIR_FH08_A_HAP_CTG3_1	chr19_KI270929v1_alt	assembly
KI270929.1	chr19_KI270929v1_alt	genbank
NT_187683.1	chr19_KI270929v1_alt	refseq
HSCHR19KIR_FH08_BAX_HAP_CTG3_1	chr19_KI270930v1_alt	assembly
KI270930.1	chr19_KI270930v1_alt	genbank
NT_187684.1	chr19_KI270930v1_alt	refseq
HSCHR19KIR_FH13_A_HAP_CTG3_1	chr19_KI270931v1_alt	assembly
KI270931.1	chr19_KI270931v1_alt	genbank
NT_187685.1	chr19_KI270931v1_alt	refseq
HSCHR19KIR_FH13_BA2_HAP_CTG3_1	chr19_KI270932v1_alt	assembly
KI270932.1	chr19_KI270932v1_alt	genbank
NT_187686.1	chr19_KI270932v1_alt	refseq
HSCHR19KIR_FH15_A_HAP_CTG3_1	chr19_KI270933v1_alt	assembly
KI270933.1	chr19_KI270933v1_alt	genbank
NT_187687.1	chr19_KI270933v1_alt	refseq
HSCHR19_4_CTG3_1	chr19_KI270938v1_alt	assembly
KI270938.1	chr19_KI270938v1_alt	genbank
NT_187693.1	chr19_KI270938v1_alt	refseq
HG2021_PATCH	chr19_KN196484v1_fix	assembly
KN196484.1	chr19_KN196484v1_fix	genbank
NW_009646206.1	chr19_KN196484v1_fix	refseq
HG26_PATCH	chr19_KQ458386v1_fix	assembly
KQ458386.1	chr19_KQ458386v1_fix	genbank
NW_014040929.1	chr19_KQ458386v1_fix	refseq
HSCHR19KIR_0019-4656-A_CTG3_1	chr19_KV575246v1_alt	assembly
KV575246.1	chr19_KV575246v1_alt	genbank
NW_016107300.1	chr19_KV575246v1_alt	refseq
HSCHR19KIR_CA01-TA01_1_CTG3_1	chr19_KV575247v1_alt	assembly
KV575247.1	chr19_KV575247v1_alt	genbank
NW_016107301.1	chr19_KV575247v1_alt	refseq
HSCHR19KIR_CA01-TA01_2_CTG3_1	chr19_KV575248v1_alt	assembly
KV575248.1	chr19_KV575248v1_alt	genbank
NW_016107302.1	chr19_KV575248v1_alt	refseq
HSCHR19KIR_CA01-TB04_CTG3_1	chr19_KV575249v1_alt	assembly
KV575249.1	chr19_KV575249v1_alt	genbank
NW_016107303.1	chr19_KV575249v1_alt	refseq
HSCHR19KIR_CA01-TB01_CTG3_1	chr19_KV575250v1_alt	assembly
KV575250.1	chr19_KV575250v1_alt	genbank
NW_016107304.1	chr19_KV575250v1_alt	refseq
HSCHR19KIR_HG2394_CTG3_1	chr19_KV575251v1_alt	assembly
KV575251.1	chr19_KV575251v1_alt	genbank
NW_016107305.1	chr19_KV575251v1_alt	refseq
HSCHR19KIR_502960008-2_CTG3_1	chr19_KV575252v1_alt	assembly
KV575252.1	chr19_KV575252v1_alt	genbank
NW_016107306.1	chr19_KV575252v1_alt	refseq
HSCHR19KIR_502960008-1_CTG3_1	chr19_KV575253v1_alt	assembly
KV575253.1	chr19_KV575253v1_alt	genbank
NW_016107307.1	chr19_KV575253v1_alt	refseq
HSCHR19KIR_0010-5217-AB_CTG3_1	chr19_KV575254v1_alt	assembly
KV575254.1	chr19_KV575254v1_alt	genbank
NW_016107308.1	chr19_KV575254v1_alt	refseq
HSCHR19KIR_7191059-1_CTG3_1	chr19_KV575255v1_alt	assembly
KV575255.1	chr19_KV575255v1_alt	genbank
NW_016107309.1	chr19_KV575255v1_alt	refseq
HSCHR19KIR_0019-4656-B_CTG3_1	chr19_KV575256v1_alt	assembly
KV575256.1	chr19_KV575256v1_alt	genbank
NW_016107310.1	chr19_KV575256v1_alt	refseq
HSCHR19KIR_CA04_CTG3_1	chr19_KV575257v1_alt	assembly
KV575257.1	chr19_KV575257v1_alt	genbank
NW_016107311.1	chr19_KV575257v1_alt	refseq
HSCHR19KIR_HG2393_CTG3_1	chr19_KV575258v1_alt	assembly
KV575258.1	chr19_KV575258v1_alt	genbank
NW_016107312.1	chr19_KV575258v1_alt	refseq
HSCHR19KIR_7191059-2_CTG3_1	chr19_KV575259v1_alt	assembly
KV575259.1	chr19_KV575259v1_alt	genbank
NW_016107313.1	chr19_KV575259v1_alt	refseq
HSCHR19KIR_HG2396_CTG3_1	chr19_KV575260v1_alt	assembly
KV575260.1	chr19_KV575260v1_alt	genbank
NW_016107314.1	chr19_KV575260v1_alt	refseq
GL383518.1	chr1_GL383518v1_alt	genbank
HSCHR1_1_CTG31	chr1_GL383518v1_alt	assembly
NW_003315905.1	chr1_GL383518v1_alt	refseq
GL383519.1	chr1_GL383519v1_alt	genbank
HSCHR1_2_CTG31	chr1_GL383519v1_alt	assembly
NW_003315906.1	chr1_GL383519v1_alt	refseq
GL383520.2	chr1_GL383520v2_alt	genbank
HSCHR1_3_CTG31	chr1_GL383520v2_alt	assembly
NW_003315907.2	chr1_GL383520v2_alt	refseq
HSCHR1_CTG1_UNLOCALIZED	chr1_KI270706v1_random	assembly
KI270706.1	chr1_KI270706v1_random	ensembl,genbank
NT_187361.1	chr1_KI270706v1_random	refseq
HSCHR1_CTG2_UNLOCALIZED	chr1_KI270707v1_random	assembly
KI270707.1	chr1_KI270707v1_random	ensembl,genbank
NT_187362.1	chr1_KI270707v1_random	refseq
HSCHR1_CTG3_UNLOCALIZED	chr1_KI270708v1_random	assembly
KI270708.1	chr1_KI270708v1_random	ensembl,genbank
NT_187363.1	chr1_KI270708v1_random	refseq
HSCHR1_CTG4_UNLOCALIZED	chr1_KI270709v1_random	assembly
KI270709.1	chr1_KI270709v1_random	ensembl,genbank
NT_187364.1	chr1_KI270709v1_random	refseq
HSCHR1_CTG5_UNLOCALIZED	chr1_KI270710v1_random	assembly
KI270710.1	chr1_KI270710v1_random	ensembl,genbank
NT_187365.1	chr1_KI270710v1_random	refseq
HSCHR1_CTG6_UNLOCALIZED	chr1_KI270711v1_random	assembly
KI270711.1	chr1_KI270711v1_random	ensembl,genbank
NT_187366.1	chr1_KI270711v1_random	refseq
HSCHR1_CTG7_UNLOCALIZED	chr1_KI270712v1_random	assembly
KI270712.1	chr1_KI270712v1_random	ensembl,genbank
NT_187367.1	chr1_KI270712v1_random	refseq
HSCHR1_CTG8_UNLOCALIZED	chr1_KI270713v1_random	assembly
KI270713.1	chr1_KI270713v1_random	ensembl,genbank
NT_187368.1	chr1_KI270713v1_random	refseq
HSCHR1_CTG9_UNLOCALIZED	chr1_KI270714v1_random	assembly
KI270714.1	chr1_KI270714v1_random	ensembl,genbank
NT_187369.1	chr1_KI270714v1_random	refseq
HSCHR1_1_CTG32_1	chr1_KI270759v1_alt	assembly
KI270759.1	chr1_KI270759v1_alt	genbank
NT_187516.1	chr1_KI270759v1_alt	refseq
HSCHR1_1_CTG11	chr1_KI270760v1_alt	assembly
KI270760.1	chr1_KI270760v1_alt	genbank
NT_187514.1	chr1_KI270760v1_alt	refseq
HSCHR1_2_CTG32_1	chr1_KI270761v1_alt	assembly
KI270761.1	chr1_KI270761v1_alt	genbank
NT_187518.1	chr1_KI270761v1_alt	refseq
HSCHR1_1_CTG3	chr1_KI270762v1_alt	assembly
KI270762.1	chr1_KI270762v1_alt	genbank
NT_187515.1	chr1_KI270762v1_alt	refseq
HSCHR1_3_CTG32_1	chr1_KI270763v1_alt	assembly
KI270763.1	chr1_KI270763v1_alt	genbank
NT_187519.1	chr1_KI270763v1_alt	refseq
HSCHR1_4_CTG32_1	chr1_KI270764v1_alt	assembly
KI270764.1	chr1_KI270764v1_alt	genbank
NT_187521.1	chr1_KI270764v1_alt	refseq
HSCHR1_4_CTG31	chr1_KI270765v1_alt	assembly
KI270765.1	chr1_KI270765v1_alt	genbank
NT_187520.1	chr1_KI270765v1_alt	refseq
HSCHR1_2_CTG3	chr1_KI270766v1_alt	assembly
KI270766.1	chr1_KI270766v1_alt	genbank
NT_187517.1	chr1_KI270766v1_alt	refseq
HSCHR1_ALT2_1_CTG32_1	chr1_KI270892v1_alt	assembly
KI270892.1	chr1_KI270892v1_alt	genbank
NT_187646.1	chr1_KI270892v1_alt	refseq
HG986_PATCH	chr1_KN196472v1_fix	assembly
KN196472.1	chr1_KN196472v1_fix	genbank
NW_009646194.1	chr1_KN196472v1_fix	refseq
HG2058_PATCH	chr1_KN196473v1_fix	assembly
KN196473.1	chr1_KN196473v1_fix	genbank
NW_009646195.1	chr1_KN196473v1_fix	refseq
HG2104_PATCH	chr1_KN196474v1_fix	assembly
KN196474.1	chr1_KN196474v1_fix	genbank
NW_009646196.1	chr1_KN196474v1_fix	refseq
HG1832_PATCH	chr1_KN538360v1_fix	assembly
KN538360.1	chr1_KN538360v1_fix	genbank
NW_011332687.1	chr1_KN538360v1_fix	refseq
HG2095_PATCH	chr1_KN538361v1_fix	assembly
KN538361.1	chr1_KN538361v1_fix	genbank
NW_011332688.1	chr1_KN538361v1_fix	refseq
HG1342_HG2282_PATCH	chr1_KQ031383v1_fix	assembly
KQ031383.1	chr1_KQ031383v1_fix	genbank
NW_012132914.1	chr1_KQ031383v1_fix	refseq
HSCHR1_3_CTG3	chr1_KQ458382v1_alt	assembly
KQ458382.1	chr1_KQ458382v1_alt	genbank
NW_014040925.1	chr1_KQ458382v1_alt	refseq
HSCHR1_4_CTG3	chr1_KQ458383v1_alt	assembly
KQ458383.1	chr1_KQ458383v1_alt	genbank
NW_014040926.1	chr1_KQ458383v1_alt	refseq
HSCHR1_5_CTG32_1	chr1_KQ458384v1_alt	assembly
KQ458384.1	chr1_KQ458384v1_alt	genbank
NW_014040927.1	chr1_KQ458384v1_alt	refseq
HSCHR1_5_CTG3	chr1_KQ983255v1_alt	assembly
KQ983255.1	chr1_KQ983255v1_alt	genbank
NW_015495298.1	chr1_KQ983255v1_alt	refseq
HSCHR1_6_CTG3	chr1_KV880763v1_alt	assembly
KV880763.1	chr1_KV880763v1_alt	genbank
NW_017852928.1	chr1_KV880763v1_alt	refseq
HSCHR1_8_CTG3	chr1_KZ208904v1_alt	assembly
KZ208904.1	chr1_KZ208904v1_alt	genbank
NW_018654706.1	chr1_KZ208904v1_alt	refseq
HSCHR1_9_CTG3	chr1_KZ208905v1_alt	assembly
KZ208905.1	chr1_KZ208905v1_alt	genbank
NW_018654707.1	chr1_KZ208905v1_alt	refseq
HG2002_PATCH	chr1_KZ208906v1_fix	assembly
KZ208906.1	chr1_KZ208906v1_fix	genbank
NW_018654708.1	chr1_KZ208906v1_fix	refseq
HG460_PATCH	chr1_KZ559100v1_fix	assembly
KZ559100.1	chr1_KZ559100v1_fix	genbank
NW_019805487.1	chr1_KZ559100v1_fix	refseq
2	chr2	assembly,ensembl
CM000664.2	chr2	genbank
NC_000002.12	chr2	refseq
20	chr20	assembly,ensembl
CM000682.2	chr20	genbank
NC_000020.11	chr20	refseq
GL383577.2	chr20_GL383577v2_alt	genbank
HSCHR20_1_CTG1	chr20_GL383577v2_alt	assembly
NW_003315966.2	chr20_GL383577v2_alt	refseq
HSCHR20_1_CTG2	chr20_KI270869v1_alt	assembly
KI270869.1	chr20_KI270869v1_alt	genbank
NT_187623.1	chr20_KI270869v1_alt	refseq
HSCHR20_1_CTG3	chr20_KI270870v1_alt	assembly
KI270870.1	chr20_KI270870v1_alt	genbank
NT_187624.1	chr20_KI270870v1_alt	refseq
HSCHR20_1_CTG4	chr20_KI270871v1_alt	assembly
KI270871.1	chr20_KI270871v1_alt	genbank
NT_187625.1	chr20_KI270871v1_alt	refseq
21	chr21	assembly,ensembl
CM000683.2	chr21	genbank
NC_000021.9	chr21	refseq
GL383578.2	chr21_GL383578v2_alt	genbank
HSCHR21_1_CTG1_1	chr21_GL383578v2_alt	assembly
NW_003315967.2	chr21_GL383578v2_alt	refseq
GL383579.2	chr21_GL383579v2_alt	genbank
HSCHR21_2_CTG1_1	chr21_GL383579v2_alt	assembly
NW_003315968.2	chr21_GL383579v2_alt	refseq
GL383580.2	chr21_GL383580v2_alt	genbank
HSCHR21_3_CTG1_1	chr21_GL383580v2_alt	assembly
NW_003315969.2	chr21_GL383580v2_alt	refseq
GL383581.2	chr21_GL383581v2_alt	genbank
HSCHR21_4_CTG1_1	chr21_GL383581v2_alt	assembly
NW_003315970.2	chr21_GL383581v2_alt	refseq
HSCHR21_5_CTG2	chr21_KI270872v1_alt	assembly
KI270872.1	chr21_KI270872v1_alt	genbank
NT_187626.1	chr21_KI270872v1_alt	refseq
HSCHR21_6_CTG1_1	chr21_KI270873v1_alt	assembly
KI270873.1	chr21_KI270873v1_alt	genbank
NT_187627.1	chr21_KI270873v1_alt	refseq
HSCHR21_8_CTG1_1	chr21_KI270874v1_alt	assembly
KI270874.1	chr21_KI270874v1_alt	genbank
NT_187628.1	chr21_KI270874v1_alt	refseq
22	chr22	assembly,ensembl
CM000684.2	chr22	genbank
NC_000022.11	chr22	refseq
GL383582.2	chr22_GL383582v2_alt	genbank
HSCHR22_1_CTG1	chr22_GL383582v2_alt	assembly
NW_003315971.2	chr22_GL383582v2_alt	refseq
GL383583.2	chr22_GL383583v2_alt	genbank
HSCHR22_1_CTG2	chr22_GL383583v2_alt	assembly
NW_003315972.2	chr22_GL383583v2_alt	refseq
HSCHR22_2_CTG1	chr22_KB663609v1_alt	assembly
KB663609.1	chr22_KB663609v1_alt	genbank
NW_004504305.1	chr22_KB663609v1_alt	refseq
HSCHR22_UNLOCALIZED_CTG1	chr22_KI270731v1_random	assembly
KI270731.1	chr22_KI270731v1_random	ensembl,genbank
NT_187386.1	chr22_KI270731v1_random	refseq
HSCHR22_UNLOCALIZED_CTG2	chr22_KI270732v1_random	assembly
KI270732.1	chr22_KI270732v1_random	ensembl,genbank
NT_187387.1	chr22_KI270732v1_random	refseq
HSCHR22_UNLOCALIZED_CTG3	chr22_KI270733v1_random	assembly
KI270733.1	chr22_KI270733v1_random	ensembl,genbank
NT_187388.1	chr22_KI270733v1_random	refseq
HSCHR22_UNLOCALIZED_CTG4	chr22_KI270734v1_random	assembly
KI270734.1	chr22_KI270734v1_random	ensembl,genbank
NT_187389.1	chr22_KI270734v1_random	refseq
HSCHR22_UNLOCALIZED_CTG5	chr22_KI270735v1_random	assembly
KI270735.1	chr22_KI270735v1_random	ensembl,genbank
NT_187390.1	chr22_KI270735v1_random	refseq
HSCHR22_UNLOCALIZED_CTG6	chr22_KI270736v1_random	assembly
KI270736.1	chr22_KI270736v1_random	ensembl,genbank
NT_187391.1	chr22_KI270736v1_random	refseq
HSCHR22_UNLOCALIZED_CTG7	chr22_KI270737v1_random	assembly
KI270737.1	chr22_KI270737v1_random	ensembl,genbank
NT_187392.1	chr22_KI270737v1_random	refseq
HSCHR22_UNLOCALIZED_CTG8	chr22_KI270738v1_random	assembly
KI270738.1	chr22_KI270738v1_random	ensembl,genbank
NT_187393.1	chr22_KI270738v1_random	refseq
HSCHR22_UNLOCALIZED_CTG9	chr22_KI270739v1_random	assembly
KI270739.1	chr22_KI270739v1_random	ensembl,genbank
NT_187394.1	chr22_KI270739v1_random	refseq
HSCHR22_1_CTG3	chr22_KI270875v1_alt	assembly
KI270875.1	chr22_KI270875v1_alt	genbank
NT_187629.1	chr22_KI270875v1_alt	refseq
HSCHR22_1_CTG4	chr22_KI270876v1_alt	assembly
KI270876.1	chr22_KI270876v1_alt	genbank
NT_187630.1	chr22_KI270876v1_alt	refseq
HSCHR22_1_CTG5	chr22_KI270877v1_alt	assembly
KI270877.1	chr22_KI270877v1_alt	genbank
NT_187631.1	chr22_KI270877v1_alt	refseq
HSCHR22_1_CTG6	chr22_KI270878v1_alt	assembly
KI270878.1	chr22_KI270878v1_alt	genbank
NT_187632.1	chr22_KI270878v1_alt	refseq
HSCHR22_1_CTG7	chr22_KI270879v1_alt	assembly
KI270879.1	chr22_KI270879v1_alt	genbank
NT_187633.1	chr22_KI270879v1_alt	refseq
HSCHR22_3_CTG1	chr22_KI270928v1_alt	assembly
KI270928.1	chr22_KI270928v1_alt	genbank
NT_187682.1	chr22_KI270928v1_alt	refseq
HSCHR22_4_CTG1	chr22_KN196485v1_alt	assembly
KN196485.1	chr22_KN196485v1_alt	genbank
NW_009646207.1	chr22_KN196485v1_alt	refseq
HSCHR22_5_CTG1	chr22_KN196486v1_alt	assembly
KN196486.1	chr22_KN196486v1_alt	genbank
NW_009646208.1	chr22_KN196486v1_alt	refseq
HSCHR22_6_CTG1	chr22_KQ458387v1_alt	assembly
KQ458387.1	chr22_KQ458387v1_alt	genbank
NW_014040930.1	chr22_KQ458387v1_alt	refseq
HSCHR22_7_CTG1	chr22_KQ458388v1_alt	assembly
KQ458388.1	chr22_KQ458388v1_alt	genbank
NW_014040931.1	chr22_KQ458388v1_alt	refseq
HSCHR22_8_CTG1	chr22_KQ759761v1_alt	assembly
KQ759761.1	chr22_KQ759761v1_alt	genbank
NW_015148968.1	chr22_KQ759761v1_alt	refseq
HG1311_PATCH	chr22_KQ759762v1_fix	assembly
KQ759762.1	chr22_KQ759762v1_fix	genbank
NW_015148969.1	chr22_KQ759762v1_fix	refseq
GL383521.1	chr2_GL383521v1_alt	genbank
HSCHR2_1_CTG5	chr2_GL383521v1_alt	assembly
NW_003315908.1	chr2_GL383521v1_alt	refseq
GL383522.1	chr2_GL383522v1_alt	genbank
HSCHR2_1_CTG7_2	chr2_GL383522v1_alt	assembly
NW_003315909.1	chr2_GL383522v1_alt	refseq
GL582966.2	chr2_GL582966v2_alt	genbank
HSCHR2_2_CTG7_2	chr2_GL582966v2_alt	assembly
NW_003571033.2	chr2_GL582966v2_alt	refseq
HSCHR2_RANDOM_CTG1	chr2_KI270715v1_random	assembly
KI270715.1	chr2_KI270715v1_random	ensembl,genbank
NT_187370.1	chr2_KI270715v1_random	refseq
HSCHR2_RANDOM_CTG2	chr2_KI270716v1_random	assembly
KI270716.1	chr2_KI270716v1_random	ensembl,genbank
NT_187371.1	chr2_KI270716v1_random	refseq
HSCHR2_1_CTG15	chr2_KI270767v1_alt	assembly
KI270767.1	chr2_KI270767v1_alt	genbank
NT_187523.1	chr2_KI270767v1_alt	refseq
HSCHR2_3_CTG7_2	chr2_KI270768v1_alt	assembly
KI270768.1	chr2_KI270768v1_alt	genbank
NT_187528.1	chr2_KI270768v1_alt	refseq
HSCHR2_1_CTG1	chr2_KI270769v1_alt	assembly
KI270769.1	chr2_KI270769v1_alt	genbank
NT_187522.1	chr2_KI270769v1_alt	refseq
HSCHR2_2_CTG1	chr2_KI270770v1_alt	assembly
KI270770.1	chr2_KI270770v1_alt	genbank
NT_187525.1	chr2_KI270770v1_alt	refseq
HSCHR2_4_CTG7_2	chr2_KI270771v1_alt	assembly
KI270771.1	chr2_KI270771v1_alt	genbank
NT_187530.1	chr2_KI270771v1_alt	refseq
HSCHR2_1_CTG7	chr2_KI270772v1_alt	assembly
KI270772.1	chr2_KI270772v1_alt	genbank
NT_187524.1	chr2_KI270772v1_alt	refseq
HSCHR2_3_CTG1	chr2_KI270773v1_alt	assembly
KI270773.1	chr2_KI270773v1_alt	genbank
NT_187526.1	chr2_KI270773v1_alt	refseq
HSCHR2_4_CTG1	chr2_KI270774v1_alt	assembly
KI270774.1	chr2_KI270774v1_alt	genbank
NT_187529.1	chr2_KI270774v1_alt	refseq
HSCHR2_5_CTG7_2	chr2_KI270775v1_alt	assembly
KI270775.1	chr2_KI270775v1_alt	genbank
NT_187531.1	chr2_KI270775v1_alt	refseq
HSCHR2_3_CTG15	chr2_KI270776v1_alt	assembly
KI270776.1	chr2_KI270776v1_alt	genbank
NT_187527.1	chr2_KI270776v1_alt	refseq
HSCHR2_2_CTG15	chr2_KI270893v1_alt	assembly
KI270893.1	chr2_KI270893v1_alt	genbank
NT_187647.1	chr2_KI270893v1_alt	refseq
HSCHR2_2_CTG7	chr2_KI270894v1_alt	assembly
KI270894.1	chr2_KI270894v1_alt	genbank
NT_187648.1	chr2_KI270894v1_alt	refseq
HG2233_PATCH	chr2_KN538362v1_fix	assembly
KN538362.1	chr2_KN538362v1_fix	genbank
NW_011332689.1	chr2_KN538362v1_fix	refseq
HG2232_PATCH	chr2_KN538363v1_fix	assembly
KN538363.1	chr2_KN538363v1_fix	genbank
NW_011332690.1	chr2_KN538363v1_fix	refseq
HG2290_PATCH	chr2_KQ031384v1_fix	assembly
KQ031384.1	chr2_KQ031384v1_fix	genbank
NW_012132915.1	chr2_KQ031384v1_fix	refseq
HSCHR2_6_CTG7_2	chr2_KQ983256v1_alt	assembly
KQ983256.1	chr2_KQ983256v1_alt	genbank
NW_015495299.1	chr2_KQ983256v1_alt	refseq
HSCHR2_7_CTG7_2	chr2_KZ208907v1_alt	assembly
KZ208907.1	chr2_KZ208907v1_alt	genbank
NW_018654709.1	chr2_KZ208907v1_alt	refseq
HSCHR2_8_CTG7_2	chr2_KZ208908v1_alt	assembly
KZ208908.1	chr2_KZ208908v1_alt	genbank
NW_018654710.1	chr2_KZ208908v1_alt	refseq
3	chr3	assembly,ensembl
CM000665.2	chr3	genbank
NC_000003.12	chr3	refseq
GL000221.1	chr3_GL000221v1_random	ensembl,genbank
HSCHR3UN_CTG2	chr3_GL000221v1_random	assembly
NT_167215.1	chr3_GL000221v1_random	refseq
GL383526.1	chr3_GL383526v1_alt	genbank
HSCHR3_1_CTG2_1	chr3_GL383526v1_alt	assembly
NW_003315913.1	chr3_GL383526v1_alt	refseq
HSCHR3_1_CTG1	chr3_JH636055v2_alt	assembly
JH636055.2	chr3_JH636055v2_alt	genbank
NW_003871060.2	chr3_JH636055v2_alt	refseq
HSCHR3_2_CTG2_1	chr3_KI270777v1_alt	assembly
KI270777.1	chr3_KI270777v1_alt	genbank
NT_187533.1	chr3_KI270777v1_alt	refseq
HSCHR3_3_CTG2_1	chr3_KI270778v1_alt	assembly
KI270778.1	chr3_KI270778v1_alt	genbank
NT_187536.1	chr3_KI270778v1_alt	refseq
HSCHR3_1_CTG3	chr3_KI270779v1_alt	assembly
KI270779.1	chr3_KI270779v1_alt	genbank
NT_187532.1	chr3_KI270779v1_alt	refseq
HSCHR3_4_CTG2_1	chr3_KI270780v1_alt	assembly
KI270780.1	chr3_KI270780v1_alt	genbank
NT_187537.1	chr3_KI270780v1_alt	refseq
HSCHR3_5_CTG2_1	chr3_KI270781v1_alt	assembly
KI270781.1	chr3_KI270781v1_alt	genbank
NT_187538.1	chr3_KI270781v1_alt	refseq
HSCHR3_2_CTG3	chr3_KI270782v1_alt	assembly
KI270782.1	chr3_KI270782v1_alt	genbank
NT_187534.1	chr3_KI270782v1_alt	refseq
HSCHR3_3_CTG1	chr3_KI270783v1_alt	assembly
KI270783.1	chr3_KI270783v1_alt	genbank
NT_187535.1	chr3_KI270783v1_alt	refseq
HSCHR3_9_CTG3	chr3_KI270784v1_alt	assembly
KI270784.1	chr3_KI270784v1_alt	genbank
NT_187539.1	chr3_KI270784v1_alt	refseq
HSCHR3_3_CTG3	chr3_KI270895v1_alt	assembly
KI270895.1	chr3_KI270895v1_alt	genbank
NT_187649.1	chr3_KI270895v1_alt	refseq
HSCHR3_4_CTG3	chr3_KI270924v1_alt	assembly
KI270924.1	chr3_KI270924v1_alt	genbank
NT_187678.1	chr3_KI270924v1_alt	refseq
