#IDX	INTEGRATED QUALITY FLAG	FILENAME		AUTO LOW S/N	UNDER SEQ	LOW LIBRARY COMPLEXITY	REPRODUCIBILITY FAIL		LAB	GRANT	CELLTYPE	HGNC ID	ANTIBODY	ENSEMBL GENE ID	TREATMENT	PROTOCOL	REP	NREPS		NREADS UNIQ MAP READS	NREADS DISTINCT UNIQ MAP	FRAG LEN		FCC	READ LEN	RCC	MINLEN	MINCC	NSC	RSC		NRF	PBC1	PBC2		RESCUE-RATIO (Np' / Nt) (DISTINCT READS)	SELF CONS. RATIO (Ns1/Ns2) (DISTINCT READS)	OPTIMAL PEAKS (DISTINCT READS) max(Np, Nt)		SELF CONS. 2% IDR PEAKS (Ns) (DISTINCT READS)	ORIG. REP. IDR PEAKS (DISTINCT READS)	MIN SELF CONS. 2% IDR PEAKS OVER ALL REPS	MAX SELF CONS. 2% IDR PEAKS OVER ALL REPS	MAX. ORIG. REP. 2% IDR PEAKS (Nt) (DISTINCT READS)	MAXIMAL RELAXED PEAK OVERLAP BETWEEN REPS. (DISTINCT READS)	POOLED CONS. 2% IDR PEAKS (Np) (DISTINCT READS)	POOLED CONS. 1% IDR PEAKS (Np') (DISTINCT READS)	MAXIMAL RELAXED PEAK OVERLAP BETWEEN POOLED PSEUDOREPS. (DISTINCT READS)	TOTAL RELAXED PEAKS PER REP. (DISTINCT READS)	NPEAKS ON POOLED DATA USING DEFAULT MACS P-VALUE 1e-5 (DISTINCT READS)	TOTAL RELAXED PEAKS ON POOLED DATA (DISTINCT READS)
224	1	wgEncodeHaibTfbsGm12878Pou2f2Pcr1xAlnRep3		0	0	0	0		HudsonAlpha	Myers	GM12878	POU2F2	POU2F2	ENSG00000028277	None	PCR1x	3	3		15296585	14660629	115		0.195074156802682	35	0.1929913	1495	0.1698576	1.148457	1.090035		0.958425	0.964375	29.486096		1.10767160161507	2.84720999823975	22935		5681	12488;17089	5681	16175	17089		22935	18929				
225	0	wgEncodeHaibTfbsGm12878Pu1Pcr1xAlnRep1		0	0	1	0		HudsonAlpha	Myers	GM12878	SPI1	PU.1	ENSG00000066336	None	PCR1x	1	3		15731215	9666124	90		0.231666254544734	40	0.1818152	1495	0.1081958	2.141176	1.677146		0.614455	0.599881	2.318832		1.36915398576016	3.25375846687593	42995		12106	28652;20981	12106	39390	28652		42995	39229				
226	1	wgEncodeHaibTfbsGm12878Pu1Pcr1xAlnRep2		0	0	0	0		HudsonAlpha	Myers	GM12878	SPI1	PU.1	ENSG00000066336	None	PCR1x	2	3		28929120	23357256	115		0.381292243645244	40	0.2999603	1500	0.2106902	1.809729	1.911077		0.807396	0.847577	7.314371		1.36915398576016	3.25375846687593	42995		39390	28652;27974	12106	39390	28652		42995	39229				
227	1	wgEncodeHaibTfbsGm12878Pu1Pcr1xAlnRep3		0	0	1	0		HudsonAlpha	Myers	GM12878	SPI1	PU.1	ENSG00000066336	None	PCR1x	3	3		15644107	10058676	220		0.177978454060459	35	0.1478923	1500	0.1121732	1.58664	1.842299		0.642969	0.650407	2.858612		1.40233788517909	2.85228095582911	42995		13810	20981;27974	12106	39390	27974		42995	39229				
228	1	wgEncodeHaibTfbsGm12878Rad21V0416101AlnRep1		0	0	0	0		HudsonAlpha	Myers	GM12878	RAD21	Rad21	ENSG00000164754	None	v041610.1	1	2		11361908	9094469	100		0.278106579762891	40	0.1823084	1500	0.09719755	2.861251	2.125569		0.800435	0.80757	5.258271		1.01519873161664	1.25497004617087	40071		26207	36582	26207	32889	36582		40071	37138				
229	1	wgEncodeHaibTfbsGm12878Rad21V0416101AlnRep2		0	0	1	0		HudsonAlpha	Myers	GM12878	RAD21	Rad21	ENSG00000164754	None	v041610.1	2	2		21066068	12171637	105		0.362854940621923	40	0.235989	1500	0.119065	3.047536	2.085029		0.577784	0.563899	2.116452		1.01519873161664	1.25497004617087	40071		32889	36582	26207	32889	36582		40071	37138				
230	1	wgEncodeHaibTfbsGm12878Runx3sc101553V0422111AlnRep1		0	0	0	0		HudsonAlpha	Myers	GM12878	RUNX3	RUNX3_(SC-101553)	ENSG00000020633	None	v042211.1	1	2		36974028	32742868	120		0.481408010870384	40	0.4285331	1495	0.2836414	1.697242	1.364927		0.885564	0.9111	13.505276		1.07745617611088	1.29607438475024	68004		58405	56419	45063	58405	56419		68004	60789				
231	1	wgEncodeHaibTfbsGm12878Runx3sc101553V0422111AlnRep2		0	0	0	0		HudsonAlpha	Myers	GM12878	RUNX3	RUNX3_(SC-101553)	ENSG00000020633	None	v042211.1	2	2		36771489	33775275	120		0.444087655858798	40	0.4043318	1495	0.3019625	1.470671	1.388358		0.918518	0.935487	18.091246		1.07745617611088	1.29607438475024	68004		45063	56419	45063	58405	56419		68004	60789				
232	1	wgEncodeHaibTfbsGm12878RxraPcr1xAlnRep1		0	0	1	0		HudsonAlpha	Myers	GM12878	RXRA	RXRA	ENSG00000186350	None	PCR1x	1	2		20192260	8187719	130		0.14307846062325	35	0.1141624	1500	0.1037715	1.378784	3.782811		0.405488	0.321286	1.154696		1.09537037037037	1.18292682926829	1766		194	1080	164	194	1080		1766	1183				
233	1	wgEncodeHaibTfbsGm12878RxraPcr1xAlnRep2		0	0	1	0		HudsonAlpha	Myers	GM12878	RXRA	RXRA	ENSG00000186350	None	PCR1x	2	2		18174028	8628174	120		0.153445700912201	35	0.1158965	1430	0.1084684	1.414658	6.054995		0.474753	0.417748	1.421863		1.09537037037037	1.18292682926829	1766		164	1080	164	194	1080		1766	1183				
234	1	wgEncodeHaibTfbsGm12878Six5Pcr1xAlnRep1		0	0	1	0		HudsonAlpha	Myers	GM12878	SIX5	SIX5	ENSG00000177045	None	PCR1x	1	2		22226359	11917863	100		0.224843474120143	40	0.185524	1470	0.1371469	1.639436	1.812769		0.536204	0.495453	1.703059		1.14986100581248	1.59318930794581	4891		4351	3957	2731	4351	3957		4891	4550				
235	1	wgEncodeHaibTfbsGm12878Six5Pcr1xAlnRep2		0	0	1	0		HudsonAlpha	Myers	GM12878	SIX5	SIX5	ENSG00000177045	None	PCR1x	2	2		21856602	12411730	140		0.188533035478595	35	0.1629533	1480	0.1445275	1.304479	2.38826		0.567871	0.527358	1.815711		1.14986100581248	1.59318930794581	4891		2731	3957	2731	4351	3957		4891	4550				
236	1	wgEncodeHaibTfbsGm12878Sp1Pcr1xAlnRep1		0	0	0	0		HudsonAlpha	Myers	GM12878	SP1	SP1	ENSG00000185591	None	PCR1x	1	2		11069752	10641242	115		0.157208031594538	35	0.1561033	1465	0.1269346	1.238496	1.037873		0.96129	0.973025	42.204652		1.05516236469609	4.17561779242175	18334		3035	14412	3035	12673	14412		18334	15207				
237	1	wgEncodeHaibTfbsGm12878Sp1Pcr1xAlnRep2		0	0	0	0		HudsonAlpha	Myers	GM12878	SP1	SP1	ENSG00000185591	None	PCR1x	2	2		18244439	17248238	125		0.25647556207598	35	0.2428284	1500	0.1859459	1.379302	1.239919		0.945397	0.966664	37.681947		1.05516236469609	4.17561779242175	18334		12673	14412	3035	12673	14412		18334	15207				
238	0	wgEncodeHaibTfbsGm12878SrfPcr2xAlnRep1		0	0	0	0		HudsonAlpha	Myers	GM12878	SRF	SRF	ENSG00000112658	None	PCR2x	1	2		24453824	22347714	60		0.251959070102506	35	0.2589533	1495	0.2270424	1.109745	0.78082		0.913874	0.92204	13.000413		2.31442817076971	1.36623889437315	8617		2026	3209;2865;2805	2026	2768	3209		8617	7427				
239	0	wgEncodeHaibTfbsGm12878SrfPcr2xAlnRep2		0	0	0	0		HudsonAlpha	Myers	GM12878	SRF	SRF	ENSG00000112658	None	PCR2x	2	2		24045187	22104284	100		0.260340778200657	35	0.2658062	1495	0.2261398	1.151238	0.8622153		0.919281	0.927066	13.933049		2.16530612244898	1.36623889437315	8617		2768	3209;3325;3430	2026	2768	3430		8617	7427				
240	1	wgEncodeHaibTfbsGm12878SrfV0416101AlnRep1		0	0	1	0		HudsonAlpha	Myers	GM12878	SRF	SRF	ENSG00000112658	None	v041610.1	1	2		17185455	9860327	110		0.169608157161798	40	0.1453978	1490	0.1199529	1.413956	1.951483		0.57376	0.54133	1.930145		1.00471253534402	1.12388903851333	8617		3713	2865;3325;7462	3713	4173	7462		8617	7427				
241	1	wgEncodeHaibTfbsGm12878SrfV0416101AlnRep2		0	0	1	0		HudsonAlpha	Myers	GM12878	SRF	SRF	ENSG00000112658	None	v041610.1	2	2		20342714	12586180	75		0.212233555114796	40	0.1837434	1490	0.1453575	1.46008	1.742206		0.618707	0.593997	2.231825		1.00471253534402	1.12388903851333	8617		4173	2805;3430;7462	3713	4173	7462		8617	7427				
242	1	wgEncodeHaibTfbsGm12878Stat5asc74442V0422111AlnRep1		0	0	0	0		HudsonAlpha	Myers	GM12878	STAT5A	STAT5A_(SC-74442)	ENSG00000126561	None	v042211.1	1	2		30167520	28665962	100		0.303341085385386	35	0.3050324	1485	0.2892781	1.048614	0.8926439		0.950226	0.955361	23.207119		1.20612165827199	1.42031070195627	7447		3476	6226	3476	4937	6226		7447	5162				
243	1	wgEncodeHaibTfbsGm12878Stat5asc74442V0422111AlnRep2		0	0	0	0		HudsonAlpha	Myers	GM12878	STAT5A	STAT5A_(SC-74442)	ENSG00000126561	None	v042211.1	2	2		31159602	29145071	110		0.314465008186092	35	0.3158364	1495	0.2965037	1.060577	0.9290652		0.935348	0.941568	17.433926		1.20612165827199	1.42031070195627	7447		4937	6226	3476	4937	6226		7447	5162				
244	1	wgEncodeHaibTfbsGm12878Taf1Pcr1xAlnRep1		0	0	0	0		HudsonAlpha	Myers	GM12878	TAF1	TAF1	ENSG00000147133	None	PCR1x	1	2		14515113	13735463	100		0.178229302682845	35	0.1801618	1425	0.1590671	1.120466	0.9083891		0.946287	0.958584	25.832179		1.04322987721692	3.15744125326371	14344		3830	11728	3830	12093	11728		14344	12235				
245	1	wgEncodeHaibTfbsGm12878Taf1Pcr1xAlnRep2		0	0	0	0		HudsonAlpha	Myers	GM12878	TAF1	TAF1	ENSG00000147133	None	PCR1x	2	2		22602309	18667744	120		0.251872231723192	35	0.238714	1495	0.2019524	1.247186	1.357936		0.825922	0.8276	5.665941		1.04322987721692	3.15744125326371	14344		12093	11728	3830	12093	11728		14344	12235				
246	1	wgEncodeHaibTfbsGm12878Tcf12Pcr1xAlnRep1		0	0	0	0		HudsonAlpha	Myers	GM12878	TCF12	TCF12	ENSG00000140262	None	PCR1x	1	2		17540438	13847913	100		0.226478353176369	35	0.2094301	1500	0.1598945	1.416424	1.344162		0.789485	0.788207	4.550218		1.00006001680471	1.50212205473438	20507		10264	16663	6833	10264	16663		20507	16662				
247	1	wgEncodeHaibTfbsGm12878Tcf12Pcr1xAlnRep2		0	0	0	0		HudsonAlpha	Myers	GM12878	TCF12	TCF12	ENSG00000140262	None	PCR1x	2	2		16881030	16104958	90		0.218119030124222	35	0.2179038	1490	0.1788071	1.219857	1.005505		0.954027	0.96736	33.897992		1.00006001680471	1.50212205473438	20507		6833	16663	6833	10264	16663		20507	16662				
248	1	wgEncodeHaibTfbsGm12878Tcf3Pcr1xAlnRep1		0	0	0	0		HudsonAlpha	Myers	GM12878	TCF3	TCF3_(SC-349)	ENSG00000071564	None	PCR1x	1	2		8052550	7319760	105		0.125119650146284	35	0.1178308	1500	0.09261988	1.350894	1.289117		0.908999	0.915676	12.354162		1.00979553758843	1.79324675324675	16080		3850	12863	3850	6904	12863		16080	12989				
249	1	wgEncodeHaibTfbsGm12878Tcf3Pcr1xAlnRep2		0	0	0	0		HudsonAlpha	Myers	GM12878	TCF3	TCF3_(SC-349)	ENSG00000071564	None	PCR1x	2	2		17750436	14791279	90		0.217235550746223	35	0.2092186	1500	0.1712925	1.268214	1.211382		0.833291	0.834502	5.891213		1.00979553758843	1.79324675324675	16080		6904	12863	3850	6904	12863		16080	12989				
250	1	wgEncodeHaibTfbsGm12878Usf1Pcr2xAlnRep1		0	0	0	0		HudsonAlpha	Myers	GM12878	USF1	USF-1	ENSG00000158773	None	PCR2x	1	2		17014593	13739012	80		0.217578893048176	35	0.2073508	1485	0.1544602	1.40864	1.193382		0.807484	0.841433	6.882434		1.03866213151927	1.0144259369423	9826		6724	9161	6724	6821	9161		9826	8820				
251	1	wgEncodeHaibTfbsGm12878Usf1Pcr2xAlnRep2		0	0	0	0		HudsonAlpha	Myers	GM12878	USF1	USF-1	ENSG00000158773	None	PCR2x	2	2		30125112	22871949	105		0.258809935478146	35	0.2518222	1490	0.2283659	1.133313	1.297907		0.759232	0.798658	5.607481		1.03866213151927	1.0144259369423	9826		6821	9161	6724	6821	9161		9826	8820				
252	1	wgEncodeHaibTfbsGm12878Yy1sc281Pcr1xAlnRep1		0	0	0	0		HudsonAlpha	Myers	GM12878	YY1	YY1_(SC-281)	ENSG00000100811	None	PCR1x	1	2		16490120	13632415	110		0.318576341868844	40	0.2728816	1500	0.1518691	2.097703	1.377603		0.826702	0.858623	7.572672		1.06023729844843	1.26691352310422	31040		16423	27880	12963	16423	27880		31040	26296				
253	1	wgEncodeHaibTfbsGm12878Yy1sc281Pcr1xAlnRep2		0	0	0	0		HudsonAlpha	Myers	GM12878	YY1	YY1_(SC-281)	ENSG00000100811	None	PCR1x	2	2		18377592	16220246	115		0.298439935057797	40	0.2701691	1490	0.1743192	1.712031	1.294949		0.88261	0.90848	12.09257		1.06023729844843	1.26691352310422	31040		12963	27880	12963	16423	27880		31040	26296				
254	1	wgEncodeHaibTfbsGm12878Zbtb33Pcr1xAlnRep1		0	0	0	0		HudsonAlpha	Myers	GM12878	ZBTB33	ZBTB33	ENSG00000177485	None	PCR1x	1	2		17366422	16680726	115		0.20242108771787	35	0.2057626	1470	0.1856143	1.090547	0.8341539		0.960516	0.978906	58.527056		1.08752515090543	1.05796038151137	2255		1442	2162	1363	1442	2162		2255	1988				
255	1	wgEncodeHaibTfbsGm12878Zbtb33Pcr1xAlnRep2		0	0	0	0		HudsonAlpha	Myers	GM12878	ZBTB33	ZBTB33	ENSG00000177485	None	PCR1x	2	2		14957263	14356983	125		0.179340542757612	35	0.1836338	1470	0.1647853	1.088329	0.7722239		0.959867	0.979679	61.80323		1.08752515090543	1.05796038151137	2255		1363	2162	1363	1442	2162		2255	1988				
256	1	wgEncodeHaibTfbsGm12878Zeb1sc25388V0416102AlnRep1		0	0	1	0		HudsonAlpha	Myers	GM12878	ZEB1	ZEB1_(SC-25388)	ENSG00000148516	None	v041610.2	1	2		8945112	4885203	120		0.083614558638703	35	0.07419661	1495	0.065158	1.283258	2.041968		0.546131	0.526013	1.98196		1.16449410304159	7.6175	4883		400	3222	400	3047	3222		4883	3752				
257	1	wgEncodeHaibTfbsGm12878Zeb1sc25388V0416102AlnRep2		0	0	1	0		HudsonAlpha	Myers	GM12878	ZEB1	ZEB1_(SC-25388)	ENSG00000148516	None	v041610.2	2	2		15898907	7813868	130		0.145797679969659	35	0.1287484	1490	0.1034978	1.408703	1.675201		0.491472	0.435537	1.48739		1.16449410304159	7.6175	4883		3047	3222	400	3047	3222		4883	3752				
258	1	wgEncodeHaibTfbsGm12891Pax5c20V0416101AlnRep1		0	0	1	0		HudsonAlpha	Myers	GM12891	PAX5	PAX5-C20	ENSG00000196092	None	v041610.1	1	2		11292410	6872809	120		0.132034900775538	35	0.1031312	1485	0.08917482	1.48063	3.071009		0.608622	0.568694	2.005054		1.16380449141347	3.62906309751434	3204		1898	2271	523	1898	2271		3204	2643				
259	1	wgEncodeHaibTfbsGm12891Pax5c20V0416101AlnRep2		0	1	0	0		HudsonAlpha	Myers	GM12891	PAX5	PAX5-C20	ENSG00000196092	None	v041610.1	2	2		5271363	3864847	120		0.074825394089409	35	0.06270329	1495	0.05454552	1.371797	2.485959		0.733178	0.721759	3.391858		1.16380449141347	3.62906309751434	3204		523	2271	523	1898	2271		3204	2643				
260	1	wgEncodeHaibTfbsGm12891Pol24h8Pcr1xAlnRep1		0	0	0	0		HudsonAlpha	Myers	GM12891	POLR2A	Pol2-4H8	ENSG00000177084	None	PCR1x	1	2		15195634	14415171	120		0.283336705444631	35	0.2726711	1495	0.2058876	1.376172	1.159704		0.948639	0.966109	35.225068		1.09899094056124	1.01478885279535	16251		11698	14921	11698	11871	14921		16251	13577				
261	1	wgEncodeHaibTfbsGm12891Pol24h8Pcr1xAlnRep2		0	0	0	0		HudsonAlpha	Myers	GM12891	POLR2A	Pol2-4H8	ENSG00000177084	None	PCR1x	2	2		18338738	17521784	135		0.282576184402285	35	0.2743555	1500	0.2227076	1.268822	1.159168		0.955452	0.970561	40.063417		1.09899094056124	1.01478885279535	16251		11871	14921	11698	11871	14921		16251	13577				
262	1	wgEncodeHaibTfbsGm12891Pol2Pcr1xAlnRep1		0	0	0	0		HudsonAlpha	Myers	GM12891	POLR2A	Pol2	ENSG00000177084	None	PCR1x	1	2		19833000	18619260	110		0.290714928066695	35	0.2842324	1500	0.2234416	1.301078	1.106637		0.938802	0.965079	35.143303		1.06463107881498	1.0252302763316	16611		12485	15237	12485	12800	15237		16611	14312				
263	1	wgEncodeHaibTfbsGm12891Pol2Pcr1xAlnRep2		0	0	0	0		HudsonAlpha	Myers	GM12891	POLR2A	Pol2	ENSG00000177084	None	PCR1x	2	2		17861411	17005992	140		0.281250471103154	35	0.2707632	1500	0.2138473	1.315193	1.18426		0.952108	0.970043	40.859444		1.06463107881498	1.0252302763316	16611		12800	15237	12485	12800	15237		16611	14312				
264	1	wgEncodeHaibTfbsGm12891Pou2f2Pcr1xAlnRep1		0	0	0	0		HudsonAlpha	Myers	GM12891	POU2F2	POU2F2	ENSG00000028277	None	PCR1x	1	2		45998514	40906570	120		0.394706098824549	35	0.3880469	1495	0.3568648	1.106038	1.213557		0.889302	0.902764	10.48564		1.06282941520957	1.50528982267918	14664		10102	12704	6711	10102	12704		14664	11953				
265	1	wgEncodeHaibTfbsGm12891Pou2f2Pcr1xAlnRep2		0	0	0	0		HudsonAlpha	Myers	GM12891	POU2F2	POU2F2	ENSG00000028277	None	PCR1x	2	2		16037754	15511555	145		0.200913435603018	35	0.2026609	1495	0.1789116	1.122976	0.9264193		0.96719	0.9835	75.642696		1.06282941520957	1.50528982267918	14664		6711	12704	6711	10102	12704		14664	11953				
266	1	wgEncodeHaibTfbsGm12891Pu1Pcr1xAlnRep1		0	0	0	0		HudsonAlpha	Myers	GM12891	SPI1	PU.1	ENSG00000066336	None	PCR1x	1	2		23825934	20280039	120		0.397618382608709	40	0.2965154	1500	0.1829535	2.173331	1.89029		0.851175	0.905536	14.099167		1.00579918631572	1.37802567127892	48899		38542	44747	27969	38542	44747		48899	44489				
267	1	wgEncodeHaibTfbsGm12891Pu1Pcr1xAlnRep2		0	0	0	0		HudsonAlpha	Myers	GM12891	SPI1	PU.1	ENSG00000066336	None	PCR1x	2	2		18031542	16052490	135		0.345074118285337	40	0.2393237	1495	0.1560303	2.211584	2.269612		0.890245	0.935485	22.24073		1.00579918631572	1.37802567127892	48899		27969	44747	27969	38542	44747		48899	44489				
268	1	wgEncodeHaibTfbsGm12891Taf1Pcr1xAlnRep1		0	0	0	0		HudsonAlpha	Myers	GM12891	TAF1	TAF1	ENSG00000147133	None	PCR1x	1	2		24606016	22489972	105		0.260986653101616	35	0.2619681	1485	0.2330183	1.120026	0.9660985		0.914003	0.930338	14.906823		1.06753296025799	1.67137416693113	12110		10533	11255	6302	10533	11255		12110	10543				
269	1	wgEncodeHaibTfbsGm12891Taf1Pcr1xAlnRep2		0	0	0	0		HudsonAlpha	Myers	GM12891	TAF1	TAF1	ENSG00000147133	None	PCR1x	2	2		16702725	15989886	115		0.199150894071772	35	0.2039953	1500	0.1807438	1.101841	0.7916515		0.957322	0.976834	51.497738		1.06753296025799	1.67137416693113	12110		6302	11255	6302	10533	11255		12110	10543				
270	1	wgEncodeHaibTfbsGm12891Yy1sc281V0416101AlnRep1		0	0	0	0		HudsonAlpha	Myers	GM12891	YY1	YY1_(SC-281)	ENSG00000100811	None	v041610.1	1	2		16479599	13935479	120		0.196258160157138	40	0.1876545	1495	0.1655064	1.185804	1.388459		0.84562	0.848985	6.485925		1.32062229500526	1.93515750747298	13635		4349	8549	4349	8416	8549		13635	11290				
271	1	wgEncodeHaibTfbsGm12891Yy1sc281V0416101AlnRep2		0	0	0	0		HudsonAlpha	Myers	GM12891	YY1	YY1_(SC-281)	ENSG00000100811	None	v041610.1	2	2		15034556	12100337	115		0.262766000907684	40	0.2288238	1500	0.1385286	1.896836	1.375902		0.804835	0.818046	5.511483		1.32062229500526	1.93515750747298	13635		8416	8549	4349	8416	8549		13635	11290				
272	0	wgEncodeHaibTfbsGm12892Pax5c20V0416101AlnRep1		0	0	1	1		HudsonAlpha	Myers	GM12892	PAX5	PAX5-C20	ENSG00000196092	None	v041610.1	1	2		14187261	5206186	110		0.113650628910549	35	0.08051418	1475	0.07033646	1.615814	4.255783		0.366962	0.260779	0.972055		2.24993034271385	7.61227336122734	10345		717	3589	717	5458	3589		10345	8075				
273	1	wgEncodeHaibTfbsGm12892Pax5c20V0416101AlnRep2		0	0	0	1		HudsonAlpha	Myers	GM12892	PAX5	PAX5-C20	ENSG00000196092	None	v041610.1	2	2		9984625	8106058	125		0.15219817622683	40	0.1344122	1500	0.1000488	1.52124	1.517583		0.811854	0.80921	5.10593		2.24993034271385	7.61227336122734	10345		5458	3589	717	5458	3589		10345	8075				
274	1	wgEncodeHaibTfbsGm12892Pol24h8V0416102AlnRep1		0	0	0	0		HudsonAlpha	Myers	GM12892	POLR2A	Pol2-4H8	ENSG00000177084	None	v041610.2	1	2		15043156	14265861	130		0.285016484582805	35	0.2723342	1500	0.2047797	1.39182	1.187734		0.948329	0.965365	34.848702		1.11143936791481	1.05321072074196	17421		12723	16177	12723	13400	16177		17421	14555				
275	1	wgEncodeHaibTfbsGm12892Pol24h8V0416102AlnRep2		0	0	0	0		HudsonAlpha	Myers	GM12892	POLR2A	Pol2-4H8	ENSG00000177084	None	v041610.2	2	2		18981492	18143307	145		0.291704197852068	35	0.2844625	1500	0.229207	1.272667	1.131059		0.955842	0.9716	42.262541		1.11143936791481	1.05321072074196	17421		13400	16177	12723	13400	16177		17421	14555				
276	1	wgEncodeHaibTfbsGm12892Pol2V0416102AlnRep1		0	0	0	0		HudsonAlpha	Myers	GM12892	POLR2A	Pol2	ENSG00000177084	None	v041610.2	1	2		30433201	27690713	145		0.419377447477306	40	0.3904578	1500	0.2878855	1.456751	1.281944		0.909885	0.942048	21.754905		1.09380389258438	1.76885577630611	20086		19231	16236	10872	19231	16236		20086	17759				
277	1	wgEncodeHaibTfbsGm12892Pol2V0416102AlnRep2		0	0	0	0		HudsonAlpha	Myers	GM12892	POLR2A	Pol2	ENSG00000177084	None	v041610.2	2	2		19385120	18543069	125		0.271217264290981	35	0.2681381	1500	0.2206668	1.22908	1.064863		0.956562	0.975184	50.171209		1.09380389258438	1.76885577630611	20086		10872	16236	10872	19231	16236		20086	17759				
278	1	wgEncodeHaibTfbsGm12892Taf1V0416102AlnRep1		0	0	0	0		HudsonAlpha	Myers	GM12892	TAF1	TAF1	ENSG00000147133	None	v041610.2	1	2		19821144	17353094	100		0.225065980730018	35	0.2231553	1485	0.1925196	1.169055	1.062369		0.875484	0.886095	8.782482		1.09051559516232	2.09336801040312	9654		8049	7855	3845	8049	7855		9654	8566				
279	1	wgEncodeHaibTfbsGm12892Taf1V0416102AlnRep2		0	0	0	0		HudsonAlpha	Myers	GM12892	TAF1	TAF1	ENSG00000147133	None	v041610.2	2	2		16180730	15486205	110		0.185434436633495	35	0.1937022	1465	0.1755504	1.056303	0.5445208		0.957077	0.980014	60.057708		1.09051559516232	2.09336801040312	9654		3845	7855	3845	8049	7855		9654	8566				
280	1	wgEncodeHaibTfbsGm12892Yy1V0416101AlnRep1		0	0	0	0		HudsonAlpha	Myers	GM12892	YY1	YY1	ENSG00000100811	None	v041610.1	1	2		14225660	12324557	115		0.304669258054443	40	0.262916	1485	0.1393884	2.185758	1.338007		0.866361	0.894546	10.551321		1.49658263305322	1.40103443925823	15973		11106	8925	7927	11106	8925		15973	13357				
281	1	wgEncodeHaibTfbsGm12892Yy1V0416101AlnRep2		0	0	0	0		HudsonAlpha	Myers	GM12892	YY1	YY1	ENSG00000100811	None	v041610.1	2	2		24165902	20525140	110		0.260348598419219	40	0.2466183	1490	0.2153642	1.208876	1.439315		0.849343	0.853531	6.757176		1.49658263305322	1.40103443925823	15973		7927	8925	7927	11106	8925		15973	13357				
282	1	wgEncodeHaibTfbsH1hescAtf2sc81188V0422111AlnRep1		0	0	0	0		HudsonAlpha	Myers	H1-hESC	ATF2	ATF2_(SC-81188)	ENSG00000115966	None	v042211.1	1	2		28681970	25950041	140		0.276721281911131	35	0.2785937	1495	0.2646298	1.045692	0.8659131		0.904751	0.917801	12.474229		1.36145124716553	1.06877990430622	6021		3574	6004	3344	3574	6004		6021	4410				
283	1	wgEncodeHaibTfbsH1hescAtf2sc81188V0422111AlnRep2		0	0	0	0		HudsonAlpha	Myers	H1-hESC	ATF2	ATF2_(SC-81188)	ENSG00000115966	None	v042211.1	2	2		31814750	29672154	100		0.305098231289392	35	0.3062919	1495	0.2934073	1.039845	0.9073552		0.932654	0.939522	16.927398		1.36145124716553	1.06877990430622	6021		3344	6004	3344	3574	6004		6021	4410				
284	1	wgEncodeHaibTfbsH1hescAtf3V0416102AlnRep1		0	0	0	0		HudsonAlpha	Myers	H1-hESC	ATF3	ATF3	ENSG00000162772	None	v041610.2	1	2		13544969	12025440	120		0.15731391671837	35	0.1523853	1495	0.1418503	1.109014	1.467839		0.887816	0.888809	8.813256		1.01018233483306	1.07102803738318	4854		2140	4266	2140	2292	4266		4854	4223				
285	1	wgEncodeHaibTfbsH1hescAtf3V0416102AlnRep2		0	0	0	0		HudsonAlpha	Myers	H1-hESC	ATF3	ATF3	ENSG00000162772	None	v041610.2	2	2		10033687	9289047	145		0.134567985640901	35	0.1275696	1495	0.116262	1.157454	1.618915		0.925786	0.928469	14.045789		1.01018233483306	1.07102803738318	4854		2292	4266	2140	2292	4266		4854	4223				
286	1	wgEncodeHaibTfbsH1hescBcl11aPcr1xAlnRep1		0	0	0	0		HudsonAlpha	Myers	H1-hESC	BCL11A	BCL11A	ENSG00000119866	None	PCR1x	1	1		14014243	11603611	100		0.15642771220659	35	0.1477084	1485	0.1386784	1.127989	1.965587		0.827987	0.83399	5.94144		1.01962661560555	1	2582		711	2130	711	711	2130		2582	2089				
287	1	wgEncodeHaibTfbsH1hescBcl11aV0416102AlnRep2		0	0	0	0		HudsonAlpha	Myers	H1-hESC	BCL11A	BCL11A	ENSG00000119866	None	v041610.2	2	1		13741862	12052987	100		0.155362352678503	35	0.152459	1485	0.143392	1.08348	1.320207		0.8771	0.883524	8.514272		1.01962661560555	1	2582		597	2130	597	597	2130		2582	2089				
288	1	wgEncodeHaibTfbsH1hescCtcfsc5916V0416102AlnRep1		0	0	1	0		HudsonAlpha	Myers	H1-hESC	CTCF	CTCF_(SC-5916)	ENSG00000102974	None	v041610.2	1	2		22329466	14955562	115		0.410250646567279	40	0.2678996	1445	0.1360926	3.014496	2.079997		0.669768	0.679208	2.998374		1.20292073960664	1.44047238139562	54152		49522	42455	34379	49522	42455		54152	51070				
289	1	wgEncodeHaibTfbsH1hescCtcfsc5916V0416102AlnRep2		0	0	0	0		HudsonAlpha	Myers	H1-hESC	CTCF	CTCF_(SC-5916)	ENSG00000102974	None	v041610.2	2	2		52039748	39852143	120		0.407516948713731	40	0.376587	1495	0.3403082	1.197494	1.852564		0.765802	0.770566	4.233487		1.20292073960664	1.44047238139562	54152		34379	42455	34379	49522	42455		54152	51070				
