#Assay	Cell	Target	Treatment	Identifier	N_uniq map reads	MACS FDR 0.01	Self Cons IDR 0.02	Rep Cons IDR 0.01	SPOT	PBC	NSC	RSC	Under seq	Diff rep	Manual low S/N	Auto low S/N	Revoke flag
TF-ChIP-seq	GM12878	P300	None	wgEncodeHaibTfbsGm12878P300Pcr1xAlnRep1	28084491	117363	7448	4595	0.0316	0.91	1.07	0.81	0	0	1	1	
TF-ChIP-seq	GM12878	P300	None	wgEncodeHaibTfbsGm12878P300Pcr1xAlnRep2	16691900	300000	2767	4595	0.0228	0.88	1.09	0.74	0	0	1	1	
TF-ChIP-seq	GM12878	P300	None	wgEncodeSydhTfbsGm12878P300n15StdAlnRep1	12995838	423	3774	13	0.0599	0.92	1.22	1.38	0	0	1	0	R
TF-ChIP-seq	GM12878	P300	None	wgEncodeSydhTfbsGm12878P300n15StdAlnRep2	16025679	44	4547	13	0.0226	0.97	1.08	1	0	0	1	0	R
TF-ChIP-seq	GM12878	PAX5C20	None	wgEncodeHaibTfbsGm12878Pax5c20Pcr1xAlnRep1	34845647	82269	33932	31293	0.1321	0.94	1.21	1.21	0	0	0	0	
TF-ChIP-seq	GM12878	PAX5C20	None	wgEncodeHaibTfbsGm12878Pax5c20Pcr1xAlnRep2	13767270	278115	21423	31293	0.1152	0.97	1.31	1.25	0	0	0	0	
TF-ChIP-seq	GM12878	PAX5N19	None	wgEncodeHaibTfbsGm12878Pax5n19Pcr1xAlnRep1	13424717	247321	12370	25490	0.0631	0.97	1.19	0.98	0	0	0	0	
TF-ChIP-seq	GM12878	PAX5N19	None	wgEncodeHaibTfbsGm12878Pax5n19Pcr1xAlnRep2	24992356	102997	28654	25490	0.1327	0.97	1.18	1.33	0	0	0	0	
TF-ChIP-seq	GM12878	PBX3	None	wgEncodeHaibTfbsGm12878Pbx3Pcr1xAlnRep1	17954584	300000	11631	1980	0.0530	0.8	1.24	1.31	0	1	0	0	
TF-ChIP-seq	GM12878	PBX3	None	wgEncodeHaibTfbsGm12878Pbx3Pcr1xAlnRep2	19447174	264730	17585	1980	0.1247	0.93	1.39	1.27	0	0	0	0	
TF-ChIP-seq	GM12878	POL2	None	wgEncodeHaibTfbsGm12878Pol2Pcr2xAlnRep1	29891895	10216	28048	31499	0.5489	0.9	1.82	1.16	0	0	0	0	
TF-ChIP-seq	GM12878	POL2	None	wgEncodeHaibTfbsGm12878Pol2Pcr2xAlnRep2	31317098	11764	29882	31499	0.5128	0.9	1.85	1.16	0	0	0	0	
TF-ChIP-seq	GM12878	POL2	None	wgEncodeOpenChromChipGm12878Pol2AlnRep1	16316956	169	6596	5504	0.0242	0.46	1.05	0.74	0	1	1	1	
TF-ChIP-seq	GM12878	POL2	None	wgEncodeOpenChromChipGm12878Pol2AlnRep2	14509477	26094	20944	5504	0.2361	0.9	1.47	1.11	0	0	0	0	
TF-ChIP-seq	GM12878	POL2	None	wgEncodeSydhTfbsGm12878Pol2IggmusAlnRep1	4825640	75289	17234	16221	0.3194	0.97	2.21	1.2	1	1	0	0	
TF-ChIP-seq	GM12878	POL2	None	wgEncodeSydhTfbsGm12878Pol2IggmusAlnRep2	5004542	49999	14364	16221	0.2014	0.98	1.75	1.13	1	1	0	0	
TF-ChIP-seq	GM12878	POL2	None	wgEncodeSydhTfbsGm12878Pol2IggmusAlnRep3	4541809	66195	11140	16197	0.2073	0.98	1.77	1.18	1	1	0	0	
TF-ChIP-seq	GM12878	POL2	None	wgEncodeSydhTfbsGm12878Pol2IggmusAlnRep4	5931792	42441	13515	16197	0.2314	0.97	1.63	1.22	1	1	0	0	
TF-ChIP-seq	GM12878	POL2	None	wgEncodeSydhTfbsGm12878Pol2IggmusAlnRep5	12705372	26794	17693	13150	0.3152	0.96	1.56	1.2	0	0	0	0	
TF-ChIP-seq	GM12878	POL2	None	wgEncodeSydhTfbsGm12878Pol2IggmusAlnRep6	5254239	57252	11298	14768	0.1725	0.96	1.68	1.16	1	1	0	0	
TF-ChIP-seq	GM12878	POL2	None	wgEncodeSydhTfbsGm12878Pol2IggmusAlnRep7	4507040	64625	14649	14768	0.2523	0.96	2.21	1.14	1	1	0	0	
TF-ChIP-seq	GM12878	POL2	None	wgEncodeSydhTfbsGm12878Pol2StdAlnRep1	5254239	12296	8583	10878	0.1534	0.96	1.68	1.16	1	0	0	0	
TF-ChIP-seq	GM12878	POL2	None	wgEncodeSydhTfbsGm12878Pol2StdAlnRep2	4507040	17529	12124	10878	0.2380	0.96	2.21	1.14	1	0	0	0	
TF-ChIP-seq	GM12878	POL24H8	None	wgEncodeHaibTfbsGm12878Pol24h8Pcr1xAlnRep1	30265085	75162	34859	24852	0.4435	0.83	1.16	1.24	0	0	0	0	
TF-ChIP-seq	GM12878	POL24H8	None	wgEncodeHaibTfbsGm12878Pol24h8Pcr1xAlnRep2	26727998	79096	41691	24852	0.5075	0.94	1.34	1.47	0	0	0	0	
TF-ChIP-seq	GM12878	POL3	None	wgEncodeSydhTfbsGm12878Pol3StdAlnRep1	2808310	154	2703	341	0.0104	0.78	1.21	0.7	1	0	1	0	
TF-ChIP-seq	GM12878	POL3	None	wgEncodeSydhTfbsGm12878Pol3StdAlnRep2	3530814	114	3186	341	0.0085	0.91	1.09	0.4	1	0	1	0	
TF-ChIP-seq	GM12878	POU2F2	None	wgEncodeHaibTfbsGm12878Pou2f2Pcr1xAlnRep1	26036076	297249	17606	16987	0.0806	0.87	1.11	0.97	0	0	0	0	
TF-ChIP-seq	GM12878	POU2F2	None	wgEncodeHaibTfbsGm12878Pou2f2Pcr1xAlnRep2	46916117	86026	32149	16987	0.1297	0.92	1.12	1.3	0	0	0	0	
TF-ChIP-seq	GM12878	PU1	None	wgEncodeHaibTfbsGm12878Pu1Pcr1xAlnRep1	15731215	300000	31623	27124	0.1641	0.6	2.72	1.75	0	1	0	0	
TF-ChIP-seq	GM12878	PU1	None	wgEncodeHaibTfbsGm12878Pu1Pcr1xAlnRep2	28929120	166928	54187	27124	0.2575	0.85	2.17	2.08	0	0	0	0	
TF-ChIP-seq	GM12878	RAD21	None	wgEncodeHaibTfbsGm12878Rad21V0416101AlnRep1	11361908	195896	41749	39456	0.2500	0.81	4.05	2.4	0	0	0	0	
TF-ChIP-seq	GM12878	RAD21	None	wgEncodeHaibTfbsGm12878Rad21V0416101AlnRep2	21066068	192096	57254	39456	0.3248	0.57	4.37	2.34	0	0	0	0	
TF-ChIP-seq	GM12878	RAD21	None	wgEncodeSydhTfbsGm12878Rad21IggrabAlnRep1	16907580	14221	13989	18743	0.0353	0.98	1.08	1.11	0	1	0	0	
TF-ChIP-seq	GM12878	RAD21	None	wgEncodeSydhTfbsGm12878Rad21IggrabAlnRep2	17243474	59391	38913	18743	0.2374	0.94	2.88	2.51	0	0	0	0	
TF-ChIP-seq	GM12878	RFX5	None	wgEncodeSydhTfbsGm12878Rfx5n494IggmusAlnRep1	21284975	362	1722	2477	0.0137	0.96	1.06	1.12	0	1	0	0	
TF-ChIP-seq	GM12878	RFX5	None	wgEncodeSydhTfbsGm12878Rfx5n494IggmusAlnRep2	17286091	1248	5075	2477	0.0357	0.98	1.11	1.27	0	0	0	0	
TF-ChIP-seq	GM12878	RXRA	None	wgEncodeHaibTfbsGm12878RxraPcr1xAlnRep1	20192260	299913	21239	1466	0.0483	0.32	1.36	3.48	0	0	0	0	
TF-ChIP-seq	GM12878	RXRA	None	wgEncodeHaibTfbsGm12878RxraPcr1xAlnRep2	18174028	274733	7756	1466	0.0199	0.42	1.40	5.72	0	1	0	0	
TF-ChIP-seq	GM12878	SIN3A	None	wgEncodeHaibTfbsGm12878Sin3ak20Pcr1xAlnRep2	17873548	241182	16101	9946	0.1033	0.89	1.10	0.67	0	1	0	0	R
TF-ChIP-seq	GM12878	SIN3A	None	wgEncodeHaibTfbsGm12878Sin3ak20Pcr2xAlnRep1	18494686	291101	20465	9946	0.1634	0.89	1.27	0.95	0	0	0	0	R
TF-ChIP-seq	GM12878	SIN3A	None	wgEncodeHaibTfbsGm12878Sin3ak20V0416101AlnRep3	18423859	221297	12288	9620	0.0594	0.75	1.15	2.11	0	1	0	0	D
TF-ChIP-seq	GM12878	SIX5	None	wgEncodeHaibTfbsGm12878Six5Pcr1xAlnRep1	22226359	228993	10338	3780	0.0809	0.5	1.74	1.99	0	0	0	0	
TF-ChIP-seq	GM12878	SIX5	None	wgEncodeHaibTfbsGm12878Six5Pcr1xAlnRep2	21856602	300000	7272	3780	0.0294	0.53	1.33	2.24	0	0	0	0	
TF-ChIP-seq	GM12878	SMC3	None	wgEncodeSydhTfbsGm12878Smc3ab9263IggmusAlnRep1	22756132	25765	31388	14241	0.1711	0.95	1.85	2.16	0	0	0	0	
TF-ChIP-seq	GM12878	SMC3	None	wgEncodeSydhTfbsGm12878Smc3ab9263IggmusAlnRep2	27356108	2	11062	14241	0.0245	0.96	1.05	1.1	0	1	0	0	
TF-ChIP-seq	GM12878	SP1	None	wgEncodeHaibTfbsGm12878Sp1Pcr1xAlnRep1	11069752	143631	9714	18769	0.0607	0.97	1.29	1.12	0	0	0	0	
TF-ChIP-seq	GM12878	SP1	None	wgEncodeHaibTfbsGm12878Sp1Pcr1xAlnRep2	18244439	101893	27720	18769	0.1678	0.97	1.46	1.39	0	0	0	0	
TF-ChIP-seq	GM12878	SPT20	None	wgEncodeSydhTfbsGm12878Spt20StdAlnRep1	18735070	0	2456	6	0.0026	0.78	1.03	0.89	0	0	1	1	
TF-ChIP-seq	GM12878	SPT20	None	wgEncodeSydhTfbsGm12878Spt20StdAlnRep2	19818737	0	319	6	0.0006	0.85	1.03	0.91	0	0	1	0	
TF-ChIP-seq	GM12878	SRF	None	wgEncodeHaibTfbsGm12878SrfPcr2xAlnRep1	24453824	8	2235	1810	0.0099	0.92	1.09	0.7	0	0	1	0	
TF-ChIP-seq	GM12878	SRF	None	wgEncodeHaibTfbsGm12878SrfPcr2xAlnRep2	24045187	3	2359	1810	0.0156	0.93	1.12	0.82	0	0	1	0	
TF-ChIP-seq	GM12878	SRF	None	wgEncodeHaibTfbsGm12878SrfV0416101AlnRep1	17185455	288385	12432	6785	0.0695	0.54	1.44	2.12	0	1	0	0	
TF-ChIP-seq	GM12878	SRF	None	wgEncodeHaibTfbsGm12878SrfV0416101AlnRep2	20342714	234959	13478	6785	0.0681	0.6	1.48	1.92	0	0	0	0	
TF-ChIP-seq	GM12878	STAT1	None	wgEncodeSydhTfbsGm12878Stat1StdAlnRep1	19022602	0	680	24	0.0012	0.97	1.03	0.66	0	0	1	1	
TF-ChIP-seq	GM12878	STAT1	None	wgEncodeSydhTfbsGm12878Stat1StdAlnRep2	16942968	1	60	24	0.0015	0.98	1.03	0.54	0	0	1	1	
TF-ChIP-seq	GM12878	STAT3	None	wgEncodeSydhTfbsGm12878Stat3IggmusAlnRep1	15212665	0	651	1847	0.0025	0.97	1.03	0.62	0	0	1	1	
TF-ChIP-seq	GM12878	STAT3	None	wgEncodeSydhTfbsGm12878Stat3IggmusAlnRep2	15062013	25	1968	1847	0.0085	0.98	1.04	0.73	0	0	1	1	
TF-ChIP-seq	GM12878	TAF1	None	wgEncodeHaibTfbsGm12878Taf1Pcr1xAlnRep1	15668032	300000	6541	8271	0.0382	0.82	1.11	0.89	0	0	0	0	R
TF-ChIP-seq	GM12878	TAF1	None	wgEncodeHaibTfbsGm12878Taf1Pcr1xAlnRep2	14515113	300000	10579	8271	0.0617	0.96	1.13	0.86	0	0	0	0	R
TF-ChIP-seq	GM12878	TBP	None	wgEncodeSydhTfbsGm12878TbpIggmusAlnRep1	15837102	12081	12506	7896	0.1190	0.96	1.27	1.42	0	0	0	0	
TF-ChIP-seq	GM12878	TBP	None	wgEncodeSydhTfbsGm12878TbpIggmusAlnRep2	14078489	3930	7230	7896	0.0638	0.96	1.20	1.33	0	1	0	0	
TF-ChIP-seq	GM12878	TCF12	None	wgEncodeHaibTfbsGm12878Tcf12Pcr1xAlnRep1	17540438	300000	34485	24936	0.1713	0.79	1.48	1.4	0	0	0	0	
TF-ChIP-seq	GM12878	TCF12	None	wgEncodeHaibTfbsGm12878Tcf12Pcr1xAlnRep2	16881030	300000	20911	24936	0.0966	0.97	1.26	1.03	0	1	0	0	
TF-ChIP-seq	GM12878	TR4	None	wgEncodeSydhTfbsGm12878Tr4StdAlnRep1	15044459	0	541	890	0.0050	0.98	1.05	0.96	0	1	1	0	
TF-ChIP-seq	GM12878	TR4	None	wgEncodeSydhTfbsGm12878Tr4StdAlnRep2	17785743	1	1696	890	0.0118	0.99	1.07	0.99	0	0	1	0	
TF-ChIP-seq	GM12878	USF1	None	wgEncodeHaibTfbsGm12878Usf1Pcr2xAlnRep1	17014593	4240	6375	5078	0.0781	0.84	1.51	1.25	0	0	0	0	
TF-ChIP-seq	GM12878	USF1	None	wgEncodeHaibTfbsGm12878Usf1Pcr2xAlnRep2	30125112	2	5924	5078	0.0442	0.8	1.18	1.5	0	0	0	0	
TF-ChIP-seq	GM12878	USF2	None	wgEncodeSydhTfbsGm12878Usf2IggmusAlnRep1	15765824	5640	7761	4567	0.0482	0.98	1.24	2.06	0	0	0	0	
TF-ChIP-seq	GM12878	USF2	None	wgEncodeSydhTfbsGm12878Usf2IggmusAlnRep2	14228705	3142	3945	4567	0.0319	0.99	1.17	1.58	0	1	0	0	
TF-ChIP-seq	GM12878	WHIP	None	wgEncodeSydhTfbsGm12878WhipIggmusAlnRep1	14217912	1312	1890	5050	0.0156	0.97	1.04	0.73	0	0	1	1	
TF-ChIP-seq	GM12878	WHIP	None	wgEncodeSydhTfbsGm12878WhipIggmusAlnRep2	14405328	1690	3326	5050	0.0215	0.97	1.05	0.86	0	0	1	1	
TF-ChIP-seq	GM12878	YY1	None	wgEncodeHaibTfbsGm12878Yy1V0416101AlnRep1	16490120	51680	37098	33231	0.3215	0.86	2.08	1.61	0	0	0	0	
TF-ChIP-seq	GM12878	YY1	None	wgEncodeHaibTfbsGm12878Yy1V0416101AlnRep2	18377592	27254	33162	33231	0.2510	0.91	1.71	1.46	0	0	0	0	
TF-ChIP-seq	GM12878	YY1	None	wgEncodeSydhTfbsGm12878Yy1StdAlnRep1	9074495	0	832	976	0.0095	0.99	1.06	0.62	0	0	1	1	
TF-ChIP-seq	GM12878	YY1	None	wgEncodeSydhTfbsGm12878Yy1StdAlnRep2	5939491	0	1065	976	0.0134	0.99	1.08	0.6	1	0	1	1	
TF-ChIP-seq	GM12878	ZBTB33	None	wgEncodeHaibTfbsGm12878Zbtb33Pcr1xAlnRep1	17366422	270743	2382	3150	0.0260	0.98	1.10	0.87	0	0	0	0	
TF-ChIP-seq	GM12878	ZBTB33	None	wgEncodeHaibTfbsGm12878Zbtb33Pcr1xAlnRep2	14957263	213619	2972	3150	0.0294	0.98	1.10	0.79	0	0	0	0	
TF-ChIP-seq	GM12878	ZEB1	None	wgEncodeHaibTfbsGm12878Zeb1sc25388V0416102AlnRep1	8945112	278748	7390	8718	0.0393	0.53	1.23	1.83	1	1	0	0	
TF-ChIP-seq	GM12878	ZEB1	None	wgEncodeHaibTfbsGm12878Zeb1sc25388V0416102AlnRep2	15898907	275048	27376	8718	0.1471	0.44	1.34	1.73	0	0	0	0	
TF-ChIP-seq	GM12878	ZNF143	None	wgEncodeSydhTfbsGm12878Znf143166181apStdAlnRep1	21221709	17640	26480	5271	0.2286	0.93	2.12	1.81	0	0	0	0	
TF-ChIP-seq	GM12878	ZNF143	None	wgEncodeSydhTfbsGm12878Znf143166181apStdAlnRep2	17171843	5118	6324	5271	0.1395	0.94	1.75	1.63	0	1	0	0	
TF-ChIP-seq	GM12878	ZZZ3	None	wgEncodeSydhTfbsGm12878Zzz3StdAlnRep1	18720670	0	638	948	0.0072	0.95	1.02	0.41	0	0	1	1	
TF-ChIP-seq	GM12878	ZZZ3	None	wgEncodeSydhTfbsGm12878Zzz3StdAlnRep2	17236896	0	655	948	0.0084	0.95	1.03	0.52	0	0	1	1	
TF-ChIP-seq	GM12878	NFKB	TNFa	wgEncodeSydhTfbsGm12878NfkbTnfaStdAlnRep1	5231605	1	3410	4243	0.0279	0.99	1.13	0.96	1	1	0	0	
TF-ChIP-seq	GM12878	NFKB	TNFa	wgEncodeSydhTfbsGm12878NfkbTnfaStdAlnRep2	11249434	3881	8234	4243	0.0596	0.98	1.21	1.29	0	0	0	0	
TF-ChIP-seq	GM12878	NFKB	TNFa	wgEncodeSydhTfbsGm12878NfkbTnfaStdAlnRep3	10421580	475	2944	2701	0.0172	0.98	1.08	0.73	0	1	0	1	
TF-ChIP-seq	GM12878	NFKB	TNFa	wgEncodeSydhTfbsGm12878NfkbTnfaStdAlnRep4	9633381	0	2816	2357	0.0197	0.96	1.10	0.7	0	0	0	0	
TF-ChIP-seq	GM12891	NFKB	None	wgEncodeSydhTfbsGm12891NfkbIggrabAlnRep1	14241287	4867	4473	334	0.0336	0.91	1.09	0.83	0	1	1	1	
TF-ChIP-seq	GM12891	NFKB	None	wgEncodeSydhTfbsGm12891NfkbIggrabAlnRep2	16268845	29030	18264	14497	0.1338	0.9	1.51	1.54	0	0	0	0	
TF-ChIP-seq	GM12891	NFKB	None	wgEncodeSydhTfbsGm12891NfkbIggrabAlnRep3	11403804	14014	14765	14497	0.1230	0.96	1.48	1.55	0	0	0	0	
TF-ChIP-seq	GM12891	OCT2	None	wgEncodeHaibTfbsGm12891Oct2Pcr1xAlnRep1	45998514	39957	17793	13695	0.0921	0.9	1.11	1.28	0	0	0	0	
TF-ChIP-seq	GM12891	OCT2	None	wgEncodeHaibTfbsGm12891Oct2Pcr1xAlnRep2	16037754	123956	13705	13695	0.0822	0.98	1.11	0.9	0	0	0	0	
TF-ChIP-seq	GM12891	PAX5C20	None	wgEncodeHaibTfbsGm12891Pax5c20Pcr1xAlnRep1	11292410	268969	12353	4831	0.0571	0.57	1.46	3.06	0	0	0	0	
TF-ChIP-seq	GM12891	PAX5C20	None	wgEncodeHaibTfbsGm12891Pax5c20V0416101AlnRep2	5271363	264215	2508	4831	0.0195	0.72	1.32	2.3	1	0	0	0	
TF-ChIP-seq	GM12891	POL2	None	wgEncodeHaibTfbsGm12891Pol2Pcr1xAlnRep1	19833000	46703	24132	18768	0.2794	0.96	1.28	1.23	0	0	0	0	
TF-ChIP-seq	GM12891	POL2	None	wgEncodeHaibTfbsGm12891Pol2Pcr1xAlnRep2	17861411	49618	22385	18768	0.3015	0.97	1.29	1.36	0	0	0	0	
TF-ChIP-seq	GM12891	POL2	None	wgEncodeSydhTfbsGm12891Pol2IggmusAlnRep1	12171107	17651	15300	15765	0.2176	0.96	1.30	1.2	0	0	0	0	
TF-ChIP-seq	GM12891	POL2	None	wgEncodeSydhTfbsGm12891Pol2IggmusAlnRep2	13681477	16557	17268	16241	0.2703	0.96	1.38	1.25	0	0	0	0	
TF-ChIP-seq	GM12891	POL2	None	wgEncodeSydhTfbsGm12891Pol2IggmusAlnRep3	14021775	15557	16316	16241	0.2177	0.97	1.29	1.18	0	0	0	0	
TF-ChIP-seq	GM12891	POL2	None	wgEncodeSydhTfbsGm12891Pol2IggmusAlnRep4	6455276	34250	13853	15749	0.2188	0.98	1.38	1.33	1	0	0	0	
TF-ChIP-seq	GM12891	POL2	None	wgEncodeSydhTfbsGm12891Pol2IggmusAlnRep5	7256386	37721	13920	15892	0.2035	0.98	1.34	1.21	1	0	0	0	
TF-ChIP-seq	GM12891	POL2	None	wgEncodeSydhTfbsGm12891Pol2IggmusAlnRep6	7139921	33865	14780	15892	0.2236	0.98	1.41	1.3	1	0	0	0	
TF-ChIP-seq	GM12891	POL24H8	None	wgEncodeHaibTfbsGm12891Pol24h8Pcr1xAlnRep1	15195634	71992	26819	22896	0.3855	0.97	1.32	1.32	0	0	0	0	
TF-ChIP-seq	GM12891	POL24H8	None	wgEncodeHaibTfbsGm12891Pol24h8Pcr1xAlnRep2	18338738	60213	23923	22896	0.3089	0.97	1.24	1.31	0	0	0	0	
TF-ChIP-seq	GM12891	POU2F2	None	wgEncodeHaibTfbsGm12891Pou2f2Pcr1xAlnRep1	45998514	39957	17699	13694	0.0918	0.9	1.11	1.28	0	0	0	0	
TF-ChIP-seq	GM12891	POU2F2	None	wgEncodeHaibTfbsGm12891Pou2f2Pcr1xAlnRep2	16037754	123956	13964	13694	0.0830	0.98	1.11	0.9	0	0	0	0	
TF-ChIP-seq	GM12891	PU1	None	wgEncodeHaibTfbsGm12891Pu1Pcr1xAlnRep1	23825934	77609	52749	44414	0.2930	0.91	2.65	2.07	0	0	0	0	
TF-ChIP-seq	GM12891	PU1	None	wgEncodeHaibTfbsGm12891Pu1Pcr1xAlnRep2	18031542	83243	45826	44414	0.2601	0.94	2.77	2.49	0	0	0	0	
TF-ChIP-seq	GM12891	TAF1	None	wgEncodeHaibTfbsGm12891Taf1Pcr1xAlnRep1	24606016	13042	12404	10165	0.0748	0.93	1.13	0.99	0	0	0	0	
TF-ChIP-seq	GM12891	TAF1	None	wgEncodeHaibTfbsGm12891Taf1Pcr1xAlnRep2	16702725	34120	9576	10165	0.0652	0.98	1.10	0.75	0	0	0	0	
TF-ChIP-seq	GM12891	YY1	None	wgEncodeHaibTfbsGm12891Yy1c20V0416101AlnRep1	16479599	4	9256	11516	0.0657	0.85	1.20	1.48	0	0	0	0	
TF-ChIP-seq	GM12891	YY1	None	wgEncodeHaibTfbsGm12891Yy1c20V0416101AlnRep2	15034556	3458	23842	11516	0.2089	0.82	1.92	1.53	0	0	0	0	
TF-ChIP-seq	GM12892	NFKB	None	wgEncodeSydhTfbsGm12892NfkbIggrabAlnRep1	7445827	7702	2278	3634	0.0118	0.98	1.06	0.43	1	0	1	1	
TF-ChIP-seq	GM12892	NFKB	None	wgEncodeSydhTfbsGm12892NfkbIggrabAlnRep2	10035030	8614	1683	3679	0.0084	0.97	1.06	0.55	0	0	1	1	
TF-ChIP-seq	GM12892	NFKB	None	wgEncodeSydhTfbsGm12892NfkbIggrabAlnRep3	5445243	42217	6429	3679	0.0541	0.99	1.23	0.98	1	0	1	0	
TF-ChIP-seq	GM12892	PAX5C20	None	wgEncodeHaibTfbsGm12892Pax5c20Pcr1xAlnRep1	14187261	295850	20712	5647	0.0585	0.26	1.59	4.05	0	1	0	0	
TF-ChIP-seq	GM12892	PAX5C20	None	wgEncodeHaibTfbsGm12892Pax5c20V0416101AlnRep2	9984625	144167	22115	5647	0.1535	0.81	1.48	1.73	0	0	0	0	
TF-ChIP-seq	GM12892	POL2	None	wgEncodeHaibTfbsGm12892Pol2Pcr1xAlnRep1	30433201	32576	28089	19261	0.3872	0.94	1.44	1.59	0	0	0	0	R
TF-ChIP-seq	GM12892	POL2	None	wgEncodeHaibTfbsGm12892Pol2Pcr1xAlnRep2	19385120	43685	20599	19261	0.2422	0.97	1.20	1.17	0	0	0	0	R
TF-ChIP-seq	GM12892	POL2	None	wgEncodeHaibTfbsGm12892Pol2V0416102AlnRep1	30433201	32576	28536	19308	0.3884	0.94	1.44	1.59	0	0	0	0	D
TF-ChIP-seq	GM12892	POL2	None	wgEncodeHaibTfbsGm12892Pol2V0416102AlnRep2	19385120	43685	20431	19308	0.2415	0.97	1.20	1.17	0	0	0	0	D
TF-ChIP-seq	GM12892	POL2	None	wgEncodeSydhTfbsGm12892Pol2IggmusAlnRep1	6956007	19894	14975	14942	0.4047	0.92	2.81	1.45	1	0	0	0	
TF-ChIP-seq	GM12892	POL2	None	wgEncodeSydhTfbsGm12892Pol2IggmusAlnRep2	9121004	15974	16757	14942	0.4757	0.9	2.72	1.44	0	0	0	0	
TF-ChIP-seq	GM12892	POL2	None	wgEncodeSydhTfbsGm12892Pol2IggmusAlnRep3	5387633	22778	14519	12044	0.3154	0.97	2.20	1.23	1	0	0	0	
TF-ChIP-seq	GM12892	POL24H8	None	wgEncodeHaibTfbsGm12892Pol24h8Pcr1xAlnRep1	15043156	69452	26602	25056	0.3887	0.97	1.33	1.39	0	0	0	0	R
TF-ChIP-seq	GM12892	POL24H8	None	wgEncodeHaibTfbsGm12892Pol24h8Pcr1xAlnRep2	18981492	63828	27607	25056	0.3331	0.97	1.23	1.26	0	0	0	0	R
TF-ChIP-seq	GM12892	POL24H8	None	wgEncodeHaibTfbsGm12892Pol24h8V0416102AlnRep1	15043156	69452	26708	25077	0.3891	0.97	1.33	1.39	0	0	0	0	D
TF-ChIP-seq	GM12892	POL24H8	None	wgEncodeHaibTfbsGm12892Pol24h8V0416102AlnRep2	18981492	63828	27741	25077	0.3336	0.97	1.23	1.26	0	0	0	0	D
TF-ChIP-seq	GM12892	TAF1	None	wgEncodeHaibTfbsGm12892Taf1Pcr1xAlnRep1	19821144	34200	10952	6104	0.0783	0.89	1.18	1.06	0	0	0	0	R
TF-ChIP-seq	GM12892	TAF1	None	wgEncodeHaibTfbsGm12892Taf1Pcr1xAlnRep2	16180730	6927	5533	6104	0.0485	0.98	1.05	0.45	0	1	1	1	R
TF-ChIP-seq	GM12892	TAF1	None	wgEncodeHaibTfbsGm12892Taf1V0416102AlnRep1	19821144	34200	10948	6106	0.0783	0.89	1.18	1.06	0	0	0	0	D
TF-ChIP-seq	GM12892	TAF1	None	wgEncodeHaibTfbsGm12892Taf1V0416102AlnRep2	16180730	6927	5456	6106	0.0484	0.98	1.05	0.45	0	1	1	1	D
TF-ChIP-seq	GM12892	YY1	None	wgEncodeHaibTfbsGm12892Yy1V0416101AlnRep1	14225660	100161	26516	8322	0.2842	0.9	2.17	1.55	0	0	0	0	
TF-ChIP-seq	GM12892	YY1	None	wgEncodeHaibTfbsGm12892Yy1V0416101AlnRep2	24165902	2223	12915	8322	0.0752	0.85	1.26	1.57	0	1	0	0	
TF-ChIP-seq	GM15510	NFKB	None	wgEncodeSydhTfbsGm15510NfkbIggrabAlnRep1	10483219	3793	1916	3387	0.0064	0.98	1.03	0.44	0	0	1	1	
TF-ChIP-seq	GM15510	NFKB	None	wgEncodeSydhTfbsGm15510NfkbIggrabAlnRep2	8164125	3048	1690	2468	0.0050	0.98	1.03	0.28	0	0	1	1	
TF-ChIP-seq	GM15510	NFKB	None	wgEncodeSydhTfbsGm15510NfkbIggrabAlnRep3	4960531	48689	3984	7879	0.0321	0.99	1.16	0.83	1	0	1	0	
TF-ChIP-seq	GM15510	NFKB	None	wgEncodeSydhTfbsGm15510NfkbIggrabAlnRep4	10459686	16121	7552	12944	0.0464	0.98	1.09	0.77	0	0	0	1	
TF-ChIP-seq	GM15510	NFKB	None	wgEncodeSydhTfbsGm15510NfkbIggrabAlnRep5	10839363	16008	9881	12944	0.0523	0.99	1.08	0.76	0	0	0	1	
TF-ChIP-seq	GM15510	POL2	None	wgEncodeSydhTfbsGm15510Pol2IggmusAlnRep1	3915574	14396	16113	17292	0.4509	0.93	3.22	1.44	1	0	0	0	
TF-ChIP-seq	GM15510	POL2	None	wgEncodeSydhTfbsGm15510Pol2IggmusAlnRep2	5153432	13290	15656	17292	0.5654	0.9	3.65	1.45	1	0	0	0	
TF-ChIP-seq	GM15510	POL2	None	wgEncodeSydhTfbsGm15510Pol2IggmusAlnRep3	3438546	66543	16273	13809	0.3535	0.96	2.57	1.2	1	1	0	0	
TF-ChIP-seq	GM18505	NFKB	None	wgEncodeSydhTfbsGm18505NfkbIggrabAlnRep1	11351209	3893	1444	2254	0.0055	0.98	1.03	0.5	0	1	1	1	
TF-ChIP-seq	GM18505	NFKB	None	wgEncodeSydhTfbsGm18505NfkbIggrabAlnRep2	9244920	4260	1688	1771	0.0062	0.99	1.04	0.46	0	1	1	1	
TF-ChIP-seq	GM18505	NFKB	None	wgEncodeSydhTfbsGm18505NfkbIggrabAlnRep3	10410622	16921	8264	4415	0.0495	0.99	1.15	1.11	0	0	0	0	
