GCF_946900835.1_NSPWAT	347 Nitrospina watsonii 2023
GCF_023500045.1_ASM2350004v1	Bartonella bilalgolemii (G70 2022)
GCF_000278095.1_Bart_birt_LL-WM9_V1	Bartonella birtlesii (LL-WM9 2012)
GCF_000384965.1_BBbMcIrM01	Bartonella bovis (91-4 2013)
GCF_014203215.1_ASM1420321v1	Bartonella callosciuri (DSM 28538 2020)
GCF_902813205.1_Bartonella_capreoli_DSM_21569	Bartonella capreoli (DSM 21569 2021)
GCF_016100835.1_ASM1610083v1	Bartonella choladocola (W8125 2020)
GCF_014138465.1_ASM1413846v1	Bartonella chomelii (DSM 21431 2020)
GCF_000253015.1_ASM25301v1	Bartonella clarridgeiae (73 2011)
GCF_900445535.1_57948_H01	Bartonella doshiae (NCTC12862 2018)
GCF_900638615.1_58174_F01	Bartonella elizabethae (NCTC12898 2018)
GCF_000312525.1_ASM31252v1	Bartonella florencae (R4 2012)
GCF_014197255.1_ASM1419725v1	Bartonella fuyuanensis (DSM 100694 2020)
GCF_903679515.1_669	Bartonella gabonensis (2020)
GCF_045277155.1_ASM4527715v1	Bartonella gliris (Bgli02 2024)
GCF_000022725.1_ASM2272v1	Bartonella grahamii (as4aup 2009)
GCF_024297065.1_ASM2429706v1	Bartonella harrusi (117A 2022)
GCF_046245125.1_BhRE21v2	Bartonella heixiaziensis (RE21 2024)
GCF_019930925.1_ASM1993092v1	Bartonella henselae (FDAARGOS_1462 2021)
GCF_039543045.1_ASM3954304v1	Bartonella jaculi (JCM 17712 2024)
GCF_040545385.1_ASM4054538v1	Bartonella japonica (DSM 23650 2024)
GCF_000706625.1_Bart_koeh_C29_V1	Bartonella koehlerae (C-29 2014)
GCF_003606325.2_ASM360632v3	Bartonella kosoyi (Tel Aviv 2019)
GCF_003606345.3_ASM360634v3	Bartonella krasnovii (OE 1-1 2019)
GCF_022559585.1_ASM2255958v1	Bartonella machadoae (46A 2022)
GCF_902150025.1_PRJEB33160	Bartonella massiliensis (OS09 2019)
GCF_900185775.1_PRJEB21083	Bartonella mastomydis (008 2019)
GCF_000278255.1_Bart_melo_K-2C_V1	Bartonella melophagi (K-2C 2012)
GCF_039543065.1_ASM3954306v1	Bartonella pachyuromydis (JCM 17714 2024)
GCF_902825145.1_Bartonella_phoceencis_CIP_107707	Bartonella phoceensis (CIP107707 2021)
GCF_018155095.1_ASM1815509v1	Bartonella queenslandensis (BqUM 2021)
GCF_009936175.1_ASM993617v1	Bartonella quintana (MF1-1 2019)
GCF_019659805.1_ASM1965980v1	Bartonella raoultii (094 2021)
GCF_000312565.1_ASM31256v2	Bartonella rattaustraliani (AUST/NH4 2012)
GCF_000278215.1_Bart_ratt_15908_V1	Bartonella rattimassiliensis (15908 2012)
GCF_902652675.1_B191	Bartonella refiksaydamii (RSKK 19006 2019)
GCF_000706645.1_Bart_roch_BMGH_V1	Bartonella rochalimae ATCC BAA-1498 (BMGH 2014)
GCF_902162175.1_PRJEB33358	Bartonella saheliensis (077 2019)
GCF_039555305.1_BS-L2	Bartonella schoenbuchensis (L2 2024)
GCF_000312545.1_ASM31254v1	Bartonella senegalensis (OS02 2012)
GCF_040545155.1_ASM4054515v1	Bartonella silvatica (DSM 23649 2024)
GCF_000279995.1_Bart_tami_Th307_V1	Bartonella tamiae (Th307 2012)
GCF_023920085.1_ASM2392008v1	Bartonella taylorii (IBS296 2022)
GCF_000196435.1_ASM19643v1	Bartonella tribocorum (type strain:506 = CIP 105476 2007)
GCF_900638635.1_58174_G01	Bartonella vinsonii (NCTC12905 2018)
GCF_011455875.1_ASM1145587v1	Basfia succiniciproducens (JF4016 2020)
GCF_000743945.1_ASM74394v1	Basilea psittacipulmonis (DSM 24701 2014)
GCF_001298715.1_BazSymAV2	Bathymodiolus azoricus thioautotrophic gill symbiont (BazSymA 2016)
GCF_900180345.1_SOX_M67-2	Bathymodiolus heckerae thiotrophic gill symbiont (BHECKSOX2 2019)
GCF_019721995.1_ASM1972199v1	Bathymodiolus japonicus methanotrophic gill symbiont (HPD1508-BjaS1 2021)
GCF_002189065.1_ASM218906v1	Bathymodiolus platifrons methanotrophic gill symbiont (HPD1508-B01-01 2017)
GCF_003711265.1_ASM371126v1	Bathymodiolus thermophilus thioautotrophic gill symbiont (EPR9N 2018)
GCF_900104485.1_IMG-taxon_2597490370_annotated_assembly	Bauldia litoralis (ATCC 35022 2016)
GCF_000421665.1_ASM42166v1	Bavariicoccus seileri WCC 4188 (DSM 19936 2013)
GCF_000196175.1_ASM19617v1	Bdellovibrio bacteriovorus (HD100 2004)
GCF_022814725.1_ASM2281472v1	Bdellovibrio reynosensis (LBG001 2022)
GCF_029531655.1_ASM2953165v1	Bdellovibrio svalbardensis (PAP01 2023)
GCF_900199405.1_PRJEB21864	Beduinella massiliensis (Marseille-P2846 2018)
GCF_000829905.1_Beduini_massiliensis_GM1	Beduini massiliensis (GM1 2015)
GCF_000245015.1_ASM24501v1	Beggiatoa alba (B18LD 2012)
GCF_001305575.3_ASM130557v3	Beggiatoa leptomitoformis (D-402 2019)
GCF_000019845.1_ASM1984v1	Beijerinckia indica subsp. indica (ATCC 9039 2008)
GCF_000745425.1_ASM74542v1	Beijerinckia mobilis (UQM 1969 2014)
GCF_022549785.1_ASM2254978v1	Belliella alkalica (DSM 111903 2022)
GCF_014637795.1_ASM1463779v1	Belliella aquatica (CGMCC 1.12479 2020)
GCF_000265405.1_ASM26540v1	Belliella baltica (DSM 15883 2012)
GCF_900188245.1_IMG-taxon_2706794919_annotated_assembly	Belliella buryatensis (5C 2017)
GCF_022549695.1_ASM2254969v1	Belliella calami (DSM 107340 2022)
GCF_022549775.1_ASM2254977v1	Belliella filtrata (DSM 111904 2022)
GCF_030409495.1_ASM3040949v1	Belliella kenyensis (CECT 8551 2023)
GCF_042682445.1_ASM4268244v1	Belliella marina (CGMCC 1.15180 2024)
GCF_900156785.1_IMG-taxon_2681813558_annotated_assembly	Belliella pelovolcani (DSM 46698 2017)
GCF_001050215.2_ASM105021v2	Bellilinea caldifistulae (GOMI-1 2015)
GCF_016773205.1_ASM1677320v1	Belnapia arida (T18 2021)
GCF_000745835.1_ASM74583v1	Belnapia moabensis (DSM 16746 2014)
GCF_016775475.1_ASM1677547v1	Belnapia mucosa (T6 2021)
GCF_900101615.1_IMG-taxon_2623620456_annotated_assembly	Belnapia rosea (CPCC 100156 2016)
GCF_039719005.1_ASM3971900v1	Bengtsoniella intestinalis (BP47G 2024)
GCF_037908215.1_ASM3790821v1	Benzoatithermus flavus (SYSU G07066 2024)
GCF_047839125.1_ASM4783912v1	Bergeriella denitrificans (DSM 17675 2025)
GCF_009914665.1_ASM991466v1	Bergeyella cardium (HPQL 2020)
GCF_042427575.1_ASM4242757v1	Bergeyella porcorum (CECT 9006 2024)
GCF_900445655.1_51184_H02	Bergeyella zoohelcum (NCTC11660 2018)
GCF_012295615.1_ASM1229561v1	Bermanella marisrubri (RED65 2020)
GCF_000265505.1_ASM26550v1	Bernardetia litoralis (DSM 6794 2012)
GCF_000814825.1_ASM81482v1	Berryella intestinalis (68-1-3 2015)
GCF_013201155.1_ASM1320115v1	Berryella wangjianweii (zg-1050 2020)
GCF_000023105.1_ASM2310v1	Beutenbergia cavernae (DSM 12333 2009)
GCF_900101985.1_IMG-taxon_2619618820_annotated_assembly	Bhargavaea beijingensis (CGMCC 1.6762 2016)
GCF_000348905.1_BhCe1	Bhargavaea cecembensis (DSE10 2013)
GCF_042665595.1_ASM4266559v1	Bhargavaea changchunensis (CGMCC 1.13508 2024)
GCF_900109165.1_IMG-taxon_2617270926_annotated_assembly	Bhargavaea ginsengi (CGMCC 1.6763 2016)
GCF_018390575.1_ASM1839057v1	Bhargavaea massiliensis (Marseille-Q1000 2021)
GCF_042432615.1_ASM4243261v1	Bhargavaea ullalensis (CCM 8429 2024)
GCF_014384895.1_ASM1438489v1	Bianquea renquensis (NSJ-32 2020)
GCF_000521725.1_ASM52172v1	Bibersteinia trehalosi (USDA-ARS-USMARC-188 2014)
GCF_001263395.1_ASM126339v1	Bifidobacterium actinocoloniiforme (DSM 22766 2015)
GCF_000010425.1_ASM1042v1	Bifidobacterium adolescentis (ATCC 15703 2006)
GCF_003315635.1_ASM331563v1	Bifidobacterium aemilianum (XV10 2018)
GCF_010667685.1_ASM1066768v1	Bifidobacterium aerophilum (TRE17 2020)
GCF_001417815.1_ASM141781v1	Bifidobacterium aesculapii (DSM 26737 2015)
GCF_018555435.2_ASM1855543v2	Bifidobacterium amazonense (MA1 2022)
GCF_001025155.1_ASM102515v1	Bifidobacterium angulatum DSM 20098 (JCM 7096 2015)
GCF_000022965.1_ASM2296v1	Bifidobacterium animalis subsp. lactis (DSM 10140 2009)
GCF_002860345.1_ASM286034v1	Bifidobacterium anseris (Goo31D 2018)
GCF_042846865.1_ASM4284686v1	Bifidobacterium apicola (F814-1.1 2024)
GCF_036986835.1_ASM3698683v1	Bifidobacterium apis (F753-1 2023)
GCF_007559275.1_ASM755927v1	Bifidobacterium apousia (W8102 2019)
GCF_009299485.1_ASM929948v1	Bifidobacterium apri (DSM 100238 2019)
GCF_002259795.1_ASM225979v1	Bifidobacterium aquikefiri (LMG 28769 2017)
GCF_041080795.1_WK041_4_12_genomic	Bifidobacterium aquikefiricola (WK041_4_12 2024)
GCF_002715865.1_ASM271586v1	Bifidobacterium asteroides (DSM 20089 2017)
GCF_009299475.1_ASM929947v1	Bifidobacterium avesanii (DSM 100685 2019)
GCF_000771645.1_DSM-23969	Bifidobacterium biavatii (DSM 23969 2014)
GCF_017894325.1_ASM1789432v1	Bifidobacterium bifidum (CNCM I-4319 2021)
GCF_000741525.1_Bifboh	Bifidobacterium bohemicum (DSM 22767 2014)
GCF_000771085.1_DSM-19703	Bifidobacterium bombi (DSM 19703 2014)
GCF_000741535.1_Bifbou	Bifidobacterium boum (LMG 10736 2014)
GCF_001025175.1_ASM102517v1	Bifidobacterium breve DSM 20213 (JCM 1192 2015)
GCF_003952005.1_ASM395200v1	Bifidobacterium callimiconis (2028B 2018)
GCF_003129905.1_ASM312990v1	Bifidobacterium callitrichidarum (TRI 5 2018)
GCF_008698085.1_ASM869808v1	Bifidobacterium callitrichos (RST27 2019)
GCF_009727065.1_ASM972706v1	Bifidobacterium canis (GSD1FS 2019)
GCF_003952025.1_ASM395202v1	Bifidobacterium castoris (2020B 2018)
GCF_001025195.1_ASM102519v1	Bifidobacterium catenulatum DSM 16992 LMG 11043 (JCM 1194 2015)
GCF_003129925.1_ASM312992v1	Bifidobacterium catulorum (MRM 8.19 2018)
GCF_009193305.1_ASM919330v1	Bifidobacterium cebidarum (LMG 31469 2019)
GCF_002761235.1_ASM276123v1	Bifidobacterium choerinum (FMB-1 2017)
GCF_016102005.1_ASM1610200v1	Bifidobacterium choladohabitans (B14384H11 2020)
GCF_010667615.1_ASM1066761v1	Bifidobacterium choloepi (BRDM 6 2020)
GCF_018555455.1_ASM1855545v1	Bifidobacterium colobi (LC6 2021)
GCF_900094885.1_IMG-taxon_2616644832_annotated_assembly	Bifidobacterium commune (R-52791 2016)
GCF_000737865.1_ASM73786v1	Bifidobacterium coryneforme (LMG18911 2014)
GCF_002286935.1_ASM228693v1	Bifidobacterium criceti (Ham19E 2017)
GCF_000738005.1_ASM73800v1	Bifidobacterium crudilactis (LMG 23609 2014)
GCF_000741575.1_Bifcun	Bifidobacterium cuniculi (LMG 10738 2014)
GCF_001042595.1_ASM104259v1	Bifidobacterium dentium DSM 20436 (JCM 1195 2015)
GCF_003951975.1_ASM395197v1	Bifidobacterium dolichotidis (2036B 2018)
GCF_012932675.1_ASM1293267v1	Bifidobacterium erythrocebi (DSM 109960 2020)
GCF_014898155.1_ASM1489815v1	Bifidobacterium eulemuris (DSM 100216 2020)
GCF_037963085.1_ASM3796308v1	Bifidobacterium favimelis (IMAU50987 2024)
GCF_002802915.1_ASM280291v1	Bifidobacterium felsineum (TRE H 2017)
GCF_041080835.1_WK012_4_13_genomic	Bifidobacterium fermentum (WK012_4_13 2024)
GCF_000741205.1_Bifgalcum	Bifidobacterium gallicum DSM 20093 (LMG 11596 2014)
GCF_003951095.1_ASM395109v1	Bifidobacterium goeldii (2034B 2018)
GCF_002259755.1_ASM225975v1	Bifidobacterium hapali (DSM 100202 2017)
GCF_040095915.1_ASM4009591v1	Bifidobacterium hominis (CLA-AA-H311 2024)
GCF_017357045.1_ASM1735704v1	Bifidobacterium imperatoris (JCM 32708 2021)
GCF_036987015.1_ASM3698701v1	Bifidobacterium indicum (ATCC 25912 2023)
GCF_002286915.1_ASM228691v1	Bifidobacterium italicum (Rab10A 2017)
GCF_009078285.1_ASM907828v1	Bifidobacterium jacchi (MRM 9.3 2019)
GCF_032193675.1_ASM3219367v1	Bifidobacterium kimbladii (H1HS16N 2023)
GCF_014898175.1_ASM1489817v1	Bifidobacterium lemurum (DSM 28807 2020)
GCF_009193355.1_ASM919335v1	Bifidobacterium leontopitheci (LMG 31471 2019)
GCF_000196555.1_ASM19655v1	Bifidobacterium longum subsp. longum (JCM 1217 2011)
GCF_000420565.1_ASM42056v1	Bifidobacterium magnum (DSM 20222 2013)
GCF_002860355.1_ASM286035v1	Bifidobacterium margollesii (Uis1B 2018)
GCF_000967265.1_ASM96726v1	Bifidobacterium mellis (Bin7N 2015)
GCF_900129045.1_IMG-taxon_2563366502_annotated_assembly	Bifidobacterium merycicum (DSM 6492 2016)
GCF_019331735.1_ASM1933173v1	Bifidobacterium miconis (82T10 2021)
GCF_019331675.1_ASM1933167v1	Bifidobacterium miconisargentati (82T25 2021)
GCF_000421685.1_ASM42168v1	Bifidobacterium minimum (DSM 20102 2013)
GCF_020884755.1_ASM2088475v1	Bifidobacterium mizhiense (S053-2 2021)
GCF_000771525.1_DSM-21395	Bifidobacterium mongoliense (DSM 21395 2014)
GCF_012932365.1_ASM1293236v1	Bifidobacterium moraviense (DSM 109958 2020)
GCF_005405645.1_ASM540564v1	Bifidobacterium moukalabense (GG01T 2019)
GCF_002259745.1_ASM225974v1	Bifidobacterium myosotis (DSM 100196 2017)
GCF_012932425.1_ASM1293242v1	Bifidobacterium oedipodis (DSM 109957 2020)
GCF_012932375.1_ASM1293237v1	Bifidobacterium olomucense (DSM 109959 2020)
GCF_012932445.1_ASM1293244v1	Bifidobacterium panos (DSM 109963 2020)
GCF_002860365.1_ASM286036v1	Bifidobacterium parmae (Uis4E 2018)
GCF_019331775.1_ASM1933177v1	Bifidobacterium phasiani (6T3 2021)
GCF_010667645.1_ASM1066764v1	Bifidobacterium platyrrhinorum (SMA15 2020)
GCF_019331695.1_ASM1933169v1	Bifidobacterium pluvialisilvae (82T24 2021)
GCF_016101585.1_ASM1610158v1	Bifidobacterium polysaccharolyticum (W8117 2020)
GCF_019331805.1_ASM1933180v1	Bifidobacterium pongonis (64T4 2021)
GCF_000771045.1_DSM-17755	Bifidobacterium porcinum (DSM 17755 2014)
GCF_002802875.1_Spades_TRE1	Bifidobacterium primatium (TRE 1 2017)
GCF_001025215.1_ASM102521v1	Bifidobacterium pseudocatenulatum DSM 20438 LMG 10505 (JCM 1200 2015)
GCF_002706665.1_ASM270666v1	Bifidobacterium pseudolongum subsp. globosum (DSM 20092 2017)
GCF_002813205.1_ASM281320v1	Bifidobacterium psychraerophilum (DSM 22366 2017)
GCF_039521285.1_ASM3952128v1	Bifidobacterium pullorum (JCM 1214 2024)
GCF_009299505.1_ASM929950v1	Bifidobacterium ramosum (DSM 100688 2019)
GCF_000771685.1_DSM-23975	Bifidobacterium reuteri (DSM 23975 2014)
GCF_008698235.1_ASM869823v1	Bifidobacterium rousetti (RST9 2019)
GCF_000741365.1_Bifrum	Bifidobacterium ruminantium (LMG 21811 2014)
GCF_017378515.1_ASM1737851v1	Bifidobacterium saguini (DSMZ 23967 2021)
GCF_019331725.1_ASM1933172v1	Bifidobacterium saguinibicoloris (79T10 2021)
GCF_010667655.1_ASM1066765v1	Bifidobacterium saimiriisciurei (SMA1 2020)
GCF_003952945.1_ASM395294v1	Bifidobacterium samirii (2033B 2018)
GCF_018555385.1_ASM1855538v1	Bifidobacterium santillanense (MA2 2021)
GCF_002802865.1_ASM280286v1	Bifidobacterium scaligerum (TRE D 2017)
GCF_001042635.1_ASM104263v1	Bifidobacterium scardovii DSM 13734 (JCM 12489 2015)
GCF_002802905.1_ASM280290v1	Bifidobacterium simiarum (TRI 7 2017)
GCF_019331715.1_ASM1933171v1	Bifidobacterium simiiventris (81T8 2021)
GCF_000741785.1_Bifste	Bifidobacterium stellenboschense (DSM 23968 2014)
GCF_014898195.1_ASM1489819v1	Bifidobacterium subtile (KCTC 3272 2020)
GCF_000426425.1_ASM42642v1	Bifidobacterium thermacidophilum subsp. thermacidophilum (DSM 15837 2013)
GCF_002846655.1_ASM284665v1	Bifidobacterium thermophilum (1543B 2017)
GCF_009371875.1_ASM937187v1	Bifidobacterium tibiigranuli (TMW 2.1764 2019)
GCF_002259645.1_ASM225964v1	Bifidobacterium tissieri (DSM 100201 2017)
GCF_000771065.1_DSM-17777	Bifidobacterium tsurumiense (DSM 17777 2014)
GCF_002234915.1_BbifTam10Bv1	Bifidobacterium vansinderenii (Tam10B 2017)
GCF_008698145.1_ASM869814v1	Bifidobacterium vespertilionis (RST16 2019)
GCF_003315615.1_ASM331561v1	Bifidobacterium xylocopae (XV2 2018)
GCF_030270605.1_ASM3027060v1	Biformimicrobium ophioploci (NKW57 2023)
GCF_009696005.1_ASM969600v1	Bilifractor porci (OilRF-744-WCA-WT-13 2019)
GCF_021404405.1_ASM2140440v1	Billgrantia aerodenitrificans (MCCC 1A11058 2022)
GCF_019430905.1_ASM1943090v1	Billgrantia antri (Y3S6 2021)
GCF_011742165.1_ASM1174216v1	Billgrantia bachuensis (DX6 2020)
GCF_022341425.1_ASM2234142v1	Billgrantia campisalis (A4 2022)
GCF_900108215.1_IMG-taxon_2617270887_annotated_assembly	Billgrantia desiderata (CGMCC 1.6443 2016)
GCF_002879615.1_ASM287961v1	Billgrantia endophytica (MC28 2018)
GCF_021404305.1_ASM2140430v1	Billgrantia ethanolica (MCCC 1A11081 2022)
GCF_900100195.1_IMG-taxon_2617270877_annotated_assembly	Billgrantia gudaonensis (CGMCC 1.6133 2016)
GCF_013697085.1_ASM1369708v1	Billgrantia kenyensis (DSM 17331 2020)
GCF_003254665.1_ASM325466v1	Billgrantia lactosivorans (KCTC 52281 2018)
GCF_003336675.1_ASM333667v1	Billgrantia montanilacus (PYC7W 2018)
GCF_008297955.1_ASM829795v1	Billgrantia pellis (L5 2019)
GCF_002930105.1_ASM293010v1	Billgrantia saliphila (LCB169 2018)
GCF_017868775.1_ASM1786877v1	Billgrantia sulfidoxydans (MCCC 1A11059 2021)
GCF_009834345.1_ASM983434v1	Billgrantia tianxiuensis (BC-M4-5 2020)
GCF_021404465.1_ASM2140446v1	Billgrantia zhangzhouensis (MCCC 1A11036 2022)
GCF_000185705.2_Bilo_wads_3_1_6_V2	Bilophila wadsworthia (3_1_6 2013)
GCF_003691585.1_ASM369158v1	Biomaibacter acetigenes (SK-G1 2018)
GCF_004343195.1_ASM434319v1	Biostraticola tofi (DSM 19580 2019)
GCF_007989625.1_ASM798962v1	Bisbaumannia pacifica (NBRC 102220 2019)
GCF_014884995.1_ASM1488499v1	Bisgaard Taxon 32 (HPA106 2020)
GCF_003265225.1_ASM326522v1	Bisgaard Taxon 40 (27517-4-I1 2018)
GCF_013377195.1_ASM1337719v1	Bisgaardia hudsonensis (M327/99/2 2020)
GCF_008086165.1_ASM808616v1	Bizionia algoritergicola (APA-1 2019)
GCF_014638915.1_ASM1463891v1	Bizionia arctica (CGMCC 1.12751 2020)
GCF_000224335.1_BizArg_1.0	Bizionia argentinensis (JUB59 2011)
GCF_900115185.1_IMG-taxon_2622736504_annotated_assembly	Bizionia echini (DSM 23925 2016)
GCF_008086185.1_ASM808618v1	Bizionia gelidisalsuginis (IC164 2019)
GCF_042657385.1_ASM4265738v1	Bizionia hallyeonensis (CCUG 62110 2024)
GCF_008086205.1_ASM808620v1	Bizionia myxarmorum (ADA-4 2019)
GCF_900107625.1_IMG-taxon_2622736593_annotated_assembly	Bizionia paragorgiae (DSM 23842 2016)
GCF_001039595.1_ASM103959v1	Bizionia psychrotolerans (PB-M7 2015)
GCF_008086175.1_ASM808617v1	Bizionia saleffrena (HFD 2019)
GCF_042684585.1_ASM4268458v1	Bizionia sediminis (KCTC 42587 2024)
GCF_008630065.1_ASM863006v1	Blastochloris sulfoviridis (DSM 729 2019)
GCF_003966715.1_ASM396671v1	Blastochloris tepida (GI 2018)
GCF_001402875.1_ASM140287v1	Blastochloris viridis (ATCC 19567 2015)
GCF_900221005.1_IMG-taxon_2734482074_annotated_assembly	Blastococcus aggregatus (DSM 4725 2017)
GCF_002938425.1_ASM293842v1	Blastococcus atacamensis (P6 2018)
GCF_900102425.1_IMG-taxon_2599185358_annotated_assembly	Blastococcus aurantiacus (DSM 44268 2016)
GCF_035320885.1_ASM3532088v1	Blastococcus brunescens (BMG 8361 2024)
GCF_030165005.1_ASM3016500v1	Blastococcus capsensis (BMG 804 2023)
GCF_030731085.1_ASM3073108v1	Blastococcus carthaginiensis (BMG 814 2023)
GCF_006717095.1_ASM671709v1	Blastococcus colisei (DSM 46837 2019)
GCF_042682525.1_ASM4268252v1	Blastococcus deserti (CGMCC 1.15935 2024)
GCF_031845325.1_ASM3184532v1	Blastococcus goldschmidtiae (DSM 46792 2023)
GCF_900230285.1_IMG-taxon_2728369258_annotated_assembly	Blastococcus haudaquaticus (DSM 44270 2017)
GCF_039534705.1_ASM3953470v1	Blastococcus jejuensis (JCM 15614 2024)
GCF_003075095.1_ASM307509v1	Blastococcus litoris (GP-S2-8 2018)
GCF_900188025.1_IMG-taxon_2724679778_annotated_assembly	Blastococcus mobilis (DSM 44272 2017)
GCF_039679125.1_ASM3967912v1	Blastococcus montanus (HT6-4 2024)
GCF_004217455.1_ASM421745v1	Blastococcus saxobsidens (DSM 44509 2019)
GCF_900112815.1_IMG-taxon_2634166321_annotated_assembly	Blastococcus tunisiensis (DSM 46838 2016)
GCF_008124835.1_ASM812483v1	Blastococcus xanthinilyticus (DSM 46842 2019)
GCF_014639875.1_ASM1463987v1	Blastomonas aquatica (CGMCC 1.12851 2020)
GCF_003431825.1_ASM343182v1	Blastomonas fulva (T2 2017)
GCF_034374265.1_ASM3437426v1	Blastomonas marina (OXR-134 2023)
GCF_003201955.1_ASM320195v1	Blastomonas natatoria (DSM 3183 2018)
GCF_000153105.1_ASM15310v1	Blastopirellula marina (DSM 3645 2006)
GCF_007859755.1_ASM785975v1	Blastopirellula retiformator (Enr8 2019)
GCF_020966755.1_ASM2096675v1	Blastopirellula sediminis (JC732 2021)
GCF_003268615.1_ASM326861v1	Blattabacterium clevelandi (CCLhc 2018)
GCF_014251515.1_ASM1425151v1	Blattabacterium cuenoti (PLATYZsp 2020)
GCF_003226695.1_ASM322669v1	Blattabacterium punctulatus (CPUml 2018)
GCF_025566865.1_ASM2556686v1	Blautia acetigignens (Sanger_28 2022)
GCF_025566965.1_ASM2556696v1	Blautia ammoniilytica (Sanger_23 2022)
GCF_040096615.1_ASM4009661v1	Blautia aquisgranensis (CLA-JM-H16 2024)
GCF_003287895.1_ASM328789v1	Blautia argi (KCTC 15426 2018)
GCF_040095955.1_ASM4009595v1	Blautia caccae (CLA-SR-H028 2024)
GCF_024622975.1_ASM2462297v1	Blautia caecimuris (DSM 29492 2022)
GCF_014287615.1_ASM1428761v1	Blautia celeris (NSJ-34 2020)
GCF_014297245.1_ASM1429724v1	Blautia difficilis (M29 2020)
GCF_004123145.1_ASM412314v1	Blautia faecicola (KGMB01111 2019)
GCF_020554845.1_ASM2055484v1	Blautia faecis (DFI.3.66 2021)
GCF_020686995.1_ASM2068699v1	Blautia fusiformis (CLA-AA-H275 2021)
GCF_013300845.1_ASM1330084v1	Blautia glucerasea (MSK.20.42 2020)
GCF_002222595.2_ASM222259v2	Blautia hansenii (DSM 20583 2017)
GCF_002270465.1_ASM227046v1	Blautia hominis (KB1 2017)
GCF_034356035.1_ASM3435603v1	Blautia hydrogenotrophica (DSM 10507 2023)
GCF_014297355.1_ASM1429735v1	Blautia intestinalis (27-44 2020)
GCF_040096655.1_ASM4009665v1	Blautia intestinihominis (CLA-AA-H95 2024)
GCF_015159595.1_ASM1515959v1	Blautia liquoris (LZLJ-3 2020)
GCF_033096465.1_ASM3309646v1	Blautia luti (JCM 17040 2023)
GCF_900258535.1_PRJEB24722	Blautia marasmi (Marseille-P2377 2018)
GCF_025147765.1_ASM2514776v1	Blautia obeum (ATCC 29174 2022)
GCF_020215665.1_ASM2021566v1	Blautia parvula (NBRC 113351 2021)
GCF_034355335.1_ASM3435533v1	Blautia producta (DSM 935 2023)
GCF_010669205.1_ASM1066920v1	Blautia producta ATCC 27340 DSM 2950 (JCM 1471 2020)
GCF_001689125.2_ASM168912v2	Blautia pseudococcoides (YL58 2017)
GCF_013304825.1_ASM1330482v1	Blautia schinkii (MSK.6.26 2020)
GCF_014287535.1_ASM1428753v1	Blautia segnis (BX17 2020)
GCF_014385405.1_ASM1438540v1	Blautia stercoris (3_YM_SP_D4_24.mj 2020)
GCF_025148125.1_ASM2514812v1	Blautia wexlerae (DSM 19850 2022)
GCF_000973545.1_ASM97354v1	Blochmannia endosymbiont of Camponotus (757 2015)
GCF_023585785.1_ASM2358578v1	Blochmannia endosymbiont of Camponotus modoc (C-002 2022)
GCF_009827135.1_ASM982713v1	Blochmannia endosymbiont of Camponotus nipponensis (CNIEBac 2020)
GCF_023585685.1_ASM2358568v1	Blochmannia endosymbiont of Camponotus sp. (C-003 2022)
GCF_023585765.1_ASM2358576v1	Blochmannia endosymbiont of Camponotus sp. (C-016 2022)
GCF_023585865.1_ASM2358586v1	Blochmannia endosymbiont of Camponotus sp. (C-046 2022)
GCF_014857065.1_ASM1485706v1	Blochmannia endosymbiont of Colobopsis nipponica (CNIPBac 2020)
GCF_000973505.1_ASM97350v1	Blochmannia endosymbiont of Polyrhachis (675 2015)
GCF_003752405.1_ASM375240v1	Bogoriella caseilytica (DSM 11294 2018)
GCF_014878255.1_ASM1487825v1	Bombella apis (MRM1 2020)
GCF_026385505.1_ASM2638550v1	Bombella dulcis (TMW 2.2559 2022)
GCF_014048475.1_ASM1404847v1	Bombella favorum (TMW 2.1880 2020)
GCF_002003665.1_ASM200366v1	Bombella intestini (R-52487 2017)
GCF_014048465.1_ASM1404846v1	Bombella mellum (TMW 2.1889 2020)
GCF_026385525.1_ASM2638552v1	Bombella pluederhausensis (TMW 2.2543 2022)
GCF_026385485.1_ASM2638548v1	Bombella pollinis (TMW 2.2556 2022)
GCF_026385475.1_ASM2638547v1	Bombella saccharophila (TMW 2.2558 2022)
GCF_013385145.1_ASM1338514v1	Bombilactobacillus apium (DCY120 2020)
GCF_964340835.1_LMG_32930	Bombilactobacillus bombi (LMG 32930 CCM 8440 2024)
GCF_023380265.1_ASM2338026v1	Bombilactobacillus folatiphilus (SG4_D2 2022)
GCF_000970795.1_ASM97079v1	Bombilactobacillus mellifer (Bin4 2015)
GCF_000967245.1_ASM96724v1	Bombilactobacillus mellis (Hon2 2015)
GCF_023380245.1_ASM2338024v1	Bombilactobacillus thymidiniphilus (SG4_A1 2022)
GCF_033095945.1_ASM3309594v1	Bombiscardovia apis (KimH 2023)
GCF_002259585.1_ASM225958v1	Bombiscardovia coagulans (DSM 22924 2017)
GCF_003934165.1_ASM393416v1	Borborobacter arsenicus (CB3 2018)
GCF_900078705.1_H050680373	Bordetella ansorpii (2016)
GCF_034424645.1_ASM3442464v1	Bordetella avium (HAMBI_2160 2023)
GCF_001676705.1_ASM167670v1	Bordetella bronchialis (AU3182 2016)
