SAMPID	SMATSSCR	SMCENTER	SMPTHNTS	SMRIN	SMTS	SMTSD	SMTSISCH	SMNABTCH	SMNABTCHT	SMNABTCHD	SMGEBTCH	SMGEBTCHD	SMGEBTCHT	SME2MPRT	SMCHMPRS	SMNTRART	SMNUMGPS	SMMAPRT	SMEXNCRT	SM550NRM	SMGNSDTC	SMUNMPRT	SM350NRM	SMRDLGTH	SMMNCPB	SME1MMRT	SMSFLGTH	SMESTLBS	SMMPPD	SMNTERRT	SMRRNANM	SMRDTTL	SMVQCFL	SMMNCV	SMTRSCPT	SMMPPDPR	SMCGLGTH	SMGAPPCT	SMUNPDRD	SMNTRNRT	SMMPUNRT	SMEXPEFF	SMMPPDUN	SME2MMRT	SME2ANTI	SMALTALG	SME2SNSE	SMMFLGTH	SME1ANTI	SMSPLTRD	SMBSMMRT	SME1SNSE	SME1PCTS	SMRRNART	SME1MPRT	SMNUM5CD	SMDPMPRT	SME2PCTS
GTEX-QDVJ-0926-SM-2I5FU	1	C1	2 pieces, 8x8 & 9x9mm; no inflammation	8.7	Lung	Lung	8-11 hours	BP-20259	RNA isolation_PAXgene Tissue miRNA	11/21/2011	LCSET-1168_5	02/25/2012	TrueSeq.v1	0.6581519	114598	0.97970253	681	0.7658229	0.8853974	0.31491616	26487	0.72843033	0.7081487	76	68.74597	0.0030560885	204	86491672	84954923	0.01999843	823676	110932858	23743592	0.5987682	149670	35611642	43907	0.02648451	11631616	0.094305195	0.55784863	0.67805755	61883741	0.0057928525	15280718	5384395	15698129	173	16797149	17038730	0.0043950095	16641596	49.767406	0.007424996	0.7103737	884	0.2715697	50.673702
GTEX-QDVJ-0926-SM-2M48Y	1	C1	2 pieces, 8x8 & 9x9mm; no inflammation	8.7	Lung	Lung	8-11 hours	BP-20259	RNA isolation_PAXgene Tissue miRNA	11/21/2011	GTEx_Batch4Affy_Jan2012	02/07/2012	Affymetrix Expression																																													
GTEX-QDVJ-1126-SM-48U1U	1	C1	2 pieces ~14x4 mm, cortex & medulla; 10% fat	7.6	Adrenal Gland	Adrenal Gland	8-11 hours	BP-20259	RNA isolation_PAXgene Tissue miRNA	11/21/2011	LCSET-3084	04/18/2013	TrueSeq.v1	0.94793534	88297	0.9801132	715	0.9542249	0.89778864	0.2647446	24678	0.70695335	0.76091063	76	62.226578	0.0023907963	296	52199669	75648910	0.019628068	1684733	79277866	3772710	0.60570824	143886	36847248	52165	0.03217583	0	0.08232451	0.6745925	0.8566923	53480253	0.0026107295	16107881	3895831	16410074	268	16478806	12085069	0.0025000381	16466657	49.98156	0.02125099	0.96051437	875	0.2930466	50.464653
GTEX-QDVJ-1226-SM-48U1V	1	C1	2 pieces up to 9x8 mm; minimal fat;	6.8	Pancreas	Pancreas	8-11 hours	BP-20259	RNA isolation_PAXgene Tissue miRNA	11/21/2011	LCSET-3084	04/18/2013	TrueSeq.v1	0.9140564	106062	0.9804571	860	0.92061037	0.8875105	0.27478763	24221	0.6300333	0.7405356	76	47.45541	0.0024428884	212	33991769	67387814	0.019422501	424042	73199064	3503624	0.5956642	142094	32612956	64044	0.036858328	0	0.09294667	0.5800152	0.81705135	42456569	0.0026892987	14577228	4938413	14909129	177	14917345	16343955	0.0025652165	14994119	50.128334	0.005792998	0.9271642	836	0.36996666	50.562805
GTEX-QDVJ-1326-SM-48U1X	1	C1	6 pieces up to 7x3.5mm; 4 have mucosa at this level of sectioning	7.3	Colon	Colon - Transverse	8-11 hours	BP-20259	RNA isolation_PAXgene Tissue miRNA	11/21/2011	LCSET-3084	04/18/2013	TrueSeq.v1	0.9406966	80156	0.982131	794	0.9478985	0.8940965	0.31049854	24830	0.7408565	0.72174877	76	51.085583	0.002302814	201	53090902	65147371	0.017436866	1002332	68728216	3266660	0.6113871	144730	31633439	50275	0.029206099	0	0.088034526	0.7022568	0.8475127	48264858	0.0025665034	13753618	2934865	14012313	192	14107433	10892700	0.002433657	14079858	49.951084	0.014583996	0.9551003	837	0.2591434	50.46585
GTEX-QDVJ-1426-SM-48U1Y	1	C1	5 pieces up to 6.6x2 mm; 3 have good mucosal volume (1mm), 2 have very little mucosa	7.2	Stomach	Stomach	8-11 hours	BP-20259	RNA isolation_PAXgene Tissue miRNA	11/21/2011	LCSET-3084	04/18/2013	TrueSeq.v1	0.9466094	70291	0.98328143	817	0.9529124	0.8958797	0.32197922	24128	0.64868927	0.7489984	76	44.122772	0.0022623257	174	32724215	60938429	0.016465455	746292	63949662	3106622	0.5948214	142376	29671877	63037	0.03783429	0	0.08740175	0.61814404	0.85369486	39530106	0.0024955787	13431124	12932090	13702189	158	13772505	13495283	0.0023781809	13717799	49.900497	0.011669991	0.95921546	826	0.35131073	50.499508
GTEX-QDVJ-1726-SM-2I5FX	1	C1	6 pieces up to 7x3 mm	6.5	Skin	Skin - Sun Exposed (Lower leg)	8-11 hours	BP-20260	RNA isolation_PAXgene Tissue miRNA	11/21/2011	LCSET-1168_6	04/02/2012	TrueSeq.v1	0.521628	125643	0.9757107	769	0.5887436	0.8311924	0.27690655	26464	0.6157956	0.79820806	76	44.859665	0.0044146744	176	42710750	82904310	0.024143375	1206930	140815648	43454319	0.62840986	147749	35711773	57828	0.03124063	8376288	0.14451836	0.36254573	0.4893592	51052113	0.0068936646	14869511	5172377	15210726	160	16649725	12110327	0.0055467654	16819047	50.252956	0.008570993	0.5800721	845	0.38420433	50.567177
GTEX-QDVJ-1726-SM-2M492	1	C1	6 pieces up to 7x3 mm	6.5	Skin	Skin - Sun Exposed (Lower leg)	8-11 hours	BP-20260	RNA isolation_PAXgene Tissue miRNA	11/21/2011	GTEx_Batch4Affy_Jan2012	02/07/2012	Affymetrix Expression																																													
GTEX-QDVJ-1826-SM-2QU2U	1	C1	2 pieces 10x6 & 7x6 mm; well fixed; no hollow core	6.9	Adipose Tissue	Adipose - Subcutaneous	8-11 hours	BP-20259	RNA isolation_Trizol Manual (Cell Pellet)	11/21/2011	GTEX_AffyBatch5_March12	03/29/2012	Affymetrix Expression																																													
GTEX-QDVJ-1826-SM-2S1P3	1	C1	2 pieces 10x6 & 7x6 mm; well fixed; no hollow core	6.9	Adipose Tissue	Adipose - Subcutaneous	8-11 hours	BP-20259	RNA isolation_Trizol Manual (Cell Pellet)	11/21/2011	LCSET-1465	06/02/2012	TrueSeq.v1	0.33436587	32602	0.9792115	1281	0.36182368	0.8459983	0.30933625	21343	0.82340246	0.68286496	76	16.875689	0.0029185454	143	33803037	22063053	0.020529209	240921	60977358	6832856	0.6137991	131152	9906991	104140	0.06252889	0	0.13321316	0.29792652	0.3061022	18166771	0.009805722	4206745	1268690	4372078	117	5069847	3834317	0.0061008087	4906699	49.182343	0.003950991	0.3892815	775	0.1765976	50.96361
GTEX-QDVJ-1926-SM-2QU3T	1	C1	2 pieces; 9x6 & 8x7mm; severe tissue fracture in one piece (histology origin)	7.8	Muscle	Muscle - Skeletal	8-11 hours	BP-20260	RNA isolation_Trizol Manual (Cell Pellet)	11/21/2011	GTEX_AffyBatch5_March12	03/29/2012	Affymetrix Expression																																													
GTEX-QDVJ-1926-SM-2S1PJ	1	C1	2 pieces; 9x6 & 8x7mm; severe tissue fracture in one piece (histology origin)	7.8	Muscle	Muscle - Skeletal	8-11 hours	BP-20260	RNA isolation_Trizol Manual (Cell Pellet)	11/21/2011	LCSET-1465	06/02/2012	TrueSeq.v1	0.5296699	53497	0.97623324	1052	0.5628491	0.9063072	0.31879964	21915	0.6658252	0.7413353	76	42.250317	0.0032077364	150	33923732	55299612	0.023549153	1448098	98249438	8094816	0.6293039	131126	25402950	87678	0.053704914	0	0.069926046	0.37475914	0.5101142	36819875	0.010027965	10103808	1964572	10705739	118	11907229	10044437	0.0064168284	11512240	49.15671	0.014738995	0.5960284	801	0.33417478	51.44628
GTEX-QDVJ-2026-SM-2QU3H	1	C1	2 pieces, 5x3 mm; 5% external fat	6.1	Nerve	Nerve - Tibial	8-11 hours	BP-20260	RNA isolation_Trizol Manual (Cell Pellet)	11/21/2011	GTEX_AffyBatch5_March12	03/29/2012	Affymetrix Expression																																													
GTEX-QDVJ-2026-SM-2S1PD	1	C1	2 pieces, 5x3 mm; 5% external fat	6.1	Nerve	Nerve - Tibial	8-11 hours	BP-20260	RNA isolation_Trizol Manual (Cell Pellet)	11/21/2011	LCSET-1465	06/02/2012	TrueSeq.v1	0.25747252	27971	0.97621113	1431	0.2789533	0.811002	0.2798443	21032	0.8652242	0.71013105	76	13.45617	0.0028590637	145	36927436	16624513	0.023597082	200957	59596038	6178376	0.6583524	129080	7446661	105531	0.058526043	0	0.16520911	0.24135716	0.22623171	14383931	0.009652047	3143123	1210920	3289344	117	3795421	2606586	0.0059940084	3702510	49.380424	0.0033719859	0.3004341	731	0.1347758	51.136585
GTEX-QDVJ-2126-SM-2QU44	2	C1	2 pieces, 2.4 mm; mild intimal thickening; no external fat	7.1	Blood Vessel	Artery - Tibial	8-11 hours	BP-20260	RNA isolation_Trizol Manual (Cell Pellet)	11/21/2011	GTEX_AffyBatch5_March12	03/29/2012	Affymetrix Expression																																													
GTEX-QDVJ-2126-SM-2S1PO	2	C1	2 pieces, 2.4 mm; mild intimal thickening; no external fat	7.1	Blood Vessel	Artery - Tibial	8-11 hours	BP-20260	RNA isolation_Trizol Manual (Cell Pellet)	11/21/2011	LCSET-1465	06/02/2012	TrueSeq.v1	0.06746257	9572	0.9822963	2530	0.07052686	0.8940004	0.30661994	16851	0.8956233	0.6467071	76	4.7726326	0.0027244154	156	16525740	5220821	0.017374279	32867	74025990	8086138	0.7545722	108974	2328878	219394	0.1304332	0	0.088295884	0.0631655	0.063051045	4675889	0.009757703	1024916	271404	1060444	121	1153395	1100488	0.0060882666	1120991	49.287632	0.0004439927	0.07359115	560	0.10437669	50.851845
GTEX-QDVN-0003-SM-2IJGQ		B1			Blood	Whole Blood	-4-(-7) hours	BP-20185	DNA isolation_Whole Blood _QIAGEN Puregene (Manual)	11/17/2011	GTExBatch3_SNP5M_Dec11	12/22/2011	Illumina OMNI SNP Array																																													
GTEX-QDVN-0003-SM-2XK1Z		B1			Blood	Whole Blood	-4-(-7) hours	BP-20185	DNA isolation_Whole Blood _QIAGEN Puregene (Manual)	11/17/2011	GTEx_96Exome_May12	06/06/2012	Illumina Human Exome SNP Array																																													
GTEX-QDVN-0006-SM-48U1R		B1		7.1	Blood	Whole Blood	-4-(-7) hours	BP-20176	RNA isolation_PAXgene Blood RNA (Manual)	11/17/2011	LCSET-3084	04/18/2013	TrueSeq.v1	0.9389552	40555	0.9754323	1131	0.94848496	0.93297035	0.3230019	17940	0.4931159	0.66245484	76	58.450573	0.0020244212	170	19582229	63677726	0.024477364	1347558	67136258	3657298	0.6732139	110152	30949799	97722	0.060842045	0	0.04246188	0.467713	0.8849083	31400500	0.0024227265	13938375	13098730	14255608	180	14356249	15845132	0.002221573	14410311	50.093964	0.020071987	0.95801467	801	0.5068841	50.562588
GTEX-QDVN-0008-SM-48U2D		B1		9.3	Skin	Cells - Transformed fibroblasts	4-7 hours	BP-33214	RNA isolation_Trizol Manual (Cell Pellet)	11/16/2012	LCSET-3084	04/18/2013	TrueSeq.v1	0.9511143	83290	0.975396	718	0.956712	0.88168633	0.31977323	23001	0.82102746	0.7062421	76	62.42146	0.0018928914	207	84023046	65137007	0.024302298	566801	68084236	3284178	0.5826836	135231	31760966	52669	0.029817041	0	0.09370968	0.7854868	0.84351987	53479271	0.0021237712	13963199	2524300	14123541	182	14230008	13524934	0.002007656	14183436	49.918045	0.008324996	0.96230966	887	0.17897254	50.28544
GTEX-QDVN-0126-SM-4GIC9	1	B1	2 aliquots, 3x2mm & 5x1mm, each with   ~1mm rim of surrounding fat; minimal occlusive atherosclerosis	8	Blood Vessel	Artery - Coronary	0-3 hours	BP-20293	RNA isolation_PAXgene Tissue miRNA	11/22/2011	LCSET-3479	07/19/2013	TrueSeq.v1	0.9031185	116694	0.98103565	736	0.9407292	0.8832343	0.29431066	24497	0.7287531	0.80169684	76	63.043533	0.0033344293	245	68200485	83666439	0.018714588	377985	88937854	9055858	0.58053493	142402	39318356	51953	0.030289056	2488318	0.09780133	0.68555933	0.83088434	60972174	0.0026181268	16913844	3194908	17143017	227	17361038	15924246	0.0033152266	17529234	50.241035	0.00424999	0.9252337	860	0.2712469	50.336452
GTEX-QDVN-0226-SM-48TZ9	1	B1	6   ~10x1.2mm pieces	8.5	Blood Vessel	Artery - Aorta	0-3 hours	BP-20293	RNA isolation_PAXgene Tissue miRNA	11/22/2011	LCSET-3084	04/18/2013	TrueSeq.v1	0.95045525	82440	0.9822791	800	0.9570373	0.8994453	0.31332794	23150	0.8073936	0.68132573	76	59.094475	0.0019252436	214	76630720	64598162	0.017425464	284234	67498054	3147876	0.600402	138025	31464762	63582	0.037061606	0	0.08283385	0.7727058	0.86080277	52156140	0.0022075584	13403552	2426822	13620625	189	13710857	13310320	0.00206543	13688812	49.95977	0.0042109955	0.9636196	844	0.19260645	50.401627
GTEX-QDVN-0326-SM-2I3FS	1	B1	2   ~11x10mm aliquots.  Mild interstitial fibrosis, subacute ischemic changes (boxcar nuclei; contraction bands)	8.7	Heart	Heart - Left Ventricle	0-3 hours	BP-20293	RNA isolation_PAXgene Tissue miRNA	11/22/2011	LCSET-1167_4	02/17/2012	TrueSeq.v1	0.83531576	63419	0.9844502	913	0.8439828	0.9185686	0.30844593	22658	0.63663703	0.687399	76	53.661255	0.0031911978	233	38170533	73913900	0.015301113	1952277	87577496	10034192	0.63296694	136556	35867059	70655	0.042421855	0	0.06588168	0.5373107	0.77525616	47056328	0.003518398	14053029	2252922	14597665	223	14835738	13157782	0.0033531175	14427417	49.30233	0.022291994	0.85264975	831	0.3633629	50.950478
GTEX-QDVN-0326-SM-2IZIS	1	B1	2   ~11x10mm aliquots.  Mild interstitial fibrosis, subacute ischemic changes (boxcar nuclei; contraction bands)	8.7	Heart	Heart - Left Ventricle	0-3 hours	BP-20293	RNA isolation_PAXgene Tissue miRNA	11/22/2011	GTEx_Batch3Affy_Dec2011	01/13/2012	Affymetrix Expression																																													
GTEX-QDVN-0426-SM-48TZ6	1	B1	2   ~22x3mm aliquots, clean, well-preserved	9.2	Adrenal Gland	Adrenal Gland	0-3 hours	BP-20293	RNA isolation_PAXgene Tissue miRNA	11/22/2011	LCSET-3084	04/18/2013	TrueSeq.v1	0.949244	85357	0.98270833	817	0.95556694	0.89615375	0.27766898	23604	0.7609356	0.6932816	76	54.13426	0.0019797536	202	56946285	63417050	0.017000334	837338	66365890	3225870	0.58891743	140422	30903296	58524	0.03410406	0	0.08655455	0.72712487	0.85633487	48256286	0.0022269916	13495313	3250452	13750994	193	13817528	11364326	0.0021025548	13787636	49.945858	0.012616994	0.9618899	863	0.23906448	50.4692
GTEX-QDVN-0526-SM-48TZ4	1	B1	2   ~12x9mm aliquots.  Reasonably well-preserved	7.7	Spleen	Spleen	0-3 hours	BP-20293	RNA isolation_PAXgene Tissue miRNA	11/22/2011	LCSET-3084	04/18/2013	TrueSeq.v1	0.9284129	102637	0.9710776	792	0.9353522	0.8419982	0.26246026	25467	0.80466753	0.81122726	76	53.70087	0.0022200583	207	75408947	63460924	0.028032273	408846	67847090	3186666	0.63627666	143629	30608841	56445	0.030850349	0	0.1290794	0.7526475	0.7875649	51064943	0.0025001771	13362350	3356157	13513464	181	13649024	10132584	0.0023590787	13628786	49.962902	0.006025992	0.9422915	852	0.1953325	50.281136
GTEX-QDVN-0626-SM-2I3FP	1	B1	2  ~12x10mm aliquots, one with incidental 0.5mm adenoma	6.9	Thyroid	Thyroid	0-3 hours	BP-20293	RNA isolation_PAXgene Tissue miRNA	11/22/2011	LCSET-1167_3	02/17/2012	TrueSeq.v1	0.8295577	129916	0.9683606	671	0.8414177	0.8074326	0.31490797	26076	0.7941996	0.75516796	76	58.368263	0.0026497876	208	82854149	74961509	0.031396165	529280	89089534	10000680	0.6135599	146564	36030420	50685	0.028590415	0	0.16092798	0.66825354	0.67938805	59534399	0.0030400462	15066518	4120466	15311505	192	15670715	12192938	0.0028421665	15581385	49.857082	0.0059409896	0.8532777	859	0.20580041	50.40323
GTEX-QDVN-0626-SM-2M49S	1	B1	2  ~12x10mm aliquots, one with incidental 0.5mm adenoma	6.9	Thyroid	Thyroid	0-3 hours	BP-20293	RNA isolation_PAXgene Tissue miRNA	11/22/2011	GTEx_Batch4Affy_Jan2012	02/07/2012	Affymetrix Expression																																													
GTEX-QDVN-0726-SM-2I3FO	2	B1	2   ~13x7mm aliquots.  Diffuse mild acute pneumonia/mild congestion	8.1	Lung	Lung	0-3 hours	BP-20293	RNA isolation_PAXgene Tissue miRNA	11/22/2011	LCSET-1167_3	02/17/2012	TrueSeq.v1	0.68843246	77694	0.97685343	735	0.7021397	0.8278725	0.296186	24935	0.8107521	0.8018676	76	46.7235	0.002617787	166	70822564	56933152	0.022945892	358153	81085224	10180900	0.5888266	144001	27233432	48361	0.029882314	0	0.14898084	0.5692612	0.58128214	46158672	0.0030639803	11606704	3654253	11785871	142	12177022	9507197	0.0028365282	12150876	49.946262	0.0044169948	0.7158469	867	0.1892479	50.382957
GTEX-QDVN-0726-SM-2IZIP	2	B1	2   ~13x7mm aliquots.  Diffuse mild acute pneumonia/mild congestion	8.1	Lung	Lung	0-3 hours	BP-20293	RNA isolation_PAXgene Tissue miRNA	11/22/2011	GTEx_Batch3Affy_Dec2011	01/13/2012	Affymetrix Expression																																													
GTEX-QDVN-0726-SM-4B64L	2	B1	2   ~13x7mm aliquots.  Diffuse mild acute pneumonia/mild congestion	8.1	Lung	Lung	0-3 hours	BP-20293	RNA isolation_PAXgene Tissue miRNA	11/22/2011	LCSET-3141	05/13/2013	TrueSeq.v1	0.93671745	136692	0.9771558	584	0.94472647	0.82931983	0.31083018	26405	0.7981795	0.7670958	76	67.41686	0.0024620027	299	94937639	84735330	0.02265276	484700	89692978	8423696	0.6039038	148176	41111197	37035	0.021054756	0	0.14783596	0.7540613	0.7834804	67634002	0.002424499	17957323	3691250	18168526	266	18313928	13728669	0.0024434098	18427456	50.154495	0.0054039904	0.95273554	896	0.20182052	50.292316
GTEX-QDVN-0826-SM-48TZ2	1	B1	2   ~9.5x8mm aliquots.  Macrovesicular steatohepatitis (~20% fat), bridging fibrosis focally approaching early cirrhosis; moderate chronic inflammation	8.8	Liver	Liver	0-3 hours	BP-20293	RNA isolation_PAXgene Tissue miRNA	11/22/2011	LCSET-3084	04/18/2013	TrueSeq.v1	0.95248187	66669	0.98651826	801	0.9575797	0.91144764	0.27385387	22795	0.671423	0.72363704	76	54.162315	0.001928027	211	38567376	65288288	0.013027757	308585	68180530	3043456	0.5993526	136403	31865595	60492	0.036067493	0	0.07507062	0.64294106	0.8727837	43836060	0.0021535843	13899122	2860687	14102757	191	14145509	14280101	0.0020402053	14162291	50.029644	0.004525999	0.9626775	847	0.32857698	50.36361
GTEX-QDVN-0926-SM-2I5GL	1	B1	2  ~7.5x6.5mm aliquots,  ~30% interstitial fat, reduced numbers of Islets	7.1	Pancreas	Pancreas	0-3 hours	BP-20293	RNA isolation_PAXgene Tissue miRNA	11/22/2011	LCSET-1168_5	04/02/2012	TrueSeq.v1	0.49706656	205519	0.9684295	742	0.56698793	0.8380056	0.30182236	26226	0.60114074	0.7327592	76	50.98182	0.004229865	183	39603963	81946349	0.03142806	1333427	144529268	49873596	0.5864834	147290	34770337	48541	0.027860763	9420306	0.13042389	0.34083956	0.4751391	49261292	0.00695305	15078160	9971246	15602875	150	17220570	18339278	0.005473662	17218689	49.997265	0.009226	0.55763656	841	0.3988592	50.85511
GTEX-QDVN-1026-SM-48TZA	1	B1	4  5x3mm pieces; squamous mucosa is   ~10% of thickness	9.4	Esophagus	Esophagus - Mucosa	0-3 hours	BP-20293	RNA isolation_PAXgene Tissue miRNA	11/22/2011	LCSET-3181	07/18/2013	TrueSeq.v1	0.9382891	211700	0.9808661	627	0.9423349	0.8891613	0.31617346	25912	0.71487343	0.75424767	76	100.10767	0.008267604	306	89204050	123420140	0.018928757	916939	130972694	10052828	0.5859536	146780	60015472	44210	0.026211053	0	0.09170476	0.6736502	0.83788776	88229786	0.0036759914	26486062	5472023	26819020	270	26733240	25411807	0.005981654	27024803	50.271183	0.0070009935	0.9463806	876	0.28512648	50.312317
GTEX-QDVN-1126-SM-48TZ7	1	B1	6   ~5x4mm pieces	7.5	Esophagus	Esophagus - Muscularis	0-3 hours	BP-20293	RNA isolation_PAXgene Tissue miRNA	11/22/2011	LCSET-3084	04/18/2013	TrueSeq.v1	0.9467518	114431	0.9778437	726	0.9532597	0.8688895	0.2980362	24369	0.78021544	0.7370647	76	54.6818	0.0020084986	237	69209203	69125681	0.021980023	579395	72515054	3425128	0.6038263	142462	33619718	58517	0.03329879	0	0.10895414	0.74374795	0.82827735	53932924	0.0022569215	14521406	3183999	14758477	215	14814996	11167241	0.002131862	14864699	50.08373	0.007989996	0.9597676	848	0.21978456	50.404835
GTEX-QDVN-1226-SM-48TZ5	1	B1	6   ~9.5x3.5mm pieces.  Well-preserved mucosa is 20-30% of thickness	7.9	Stomach	Stomach	0-3 hours	BP-20294	RNA isolation_PAXgene Tissue miRNA	11/22/2011	LCSET-3084	04/18/2013	TrueSeq.v1	0.94068736	77696	0.97997415	722	0.94781274	0.8730395	0.31492728	24369	0.73238134	0.7445019	76	46.6902	0.0020546883	176	46666440	59990590	0.019697288	691673	63293716	2974482	0.59172606	142822	29131157	53815	0.033653073	0	0.106934614	0.6941604	0.827478	43935991	0.0023641728	13056891	7062879	13306994	158	13420709	12051412	0.002208267	13336926	49.843437	0.010927988	0.9549381	856	0.26761863	50.47433
GTEX-QDVN-1326-SM-48TZ3	2	B1	6   ~9x3.5mm pieces; mucosa is ~10-12% thickness, only seen in 4 of 6 pieces	8.3	Colon	Colon - Transverse	0-3 hours	BP-20294	RNA isolation_PAXgene Tissue miRNA	11/22/2011	LCSET-3084	04/18/2013	TrueSeq.v1	0.9345787	105175	0.97746783	697	0.9409927	0.8831078	0.30920485	25490	0.7701548	0.7373769	76	59.884052	0.002081369	244	69586075	72389728	0.021244643	746289	76929102	3805676	0.6020123	146244	35049990	44470	0.025730368	0	0.0943601	0.72471005	0.830998	55751296	0.0023380707	15375275	3653760	15633858	226	15754529	13325842	0.002208845	15676997	49.876667	0.009700997	0.94740677	877	0.22984521	50.41695
GTEX-QDVN-1526-SM-2IZJP	1	B1	2  ~9x6mm aliquots, patchy glandular hyperplasia	5.2	Prostate	Prostate	0-3 hours	BP-20294	RNA isolation_PAXgene Tissue miRNA	11/22/2011	GTEx_Batch3Affy_Dec2011	01/13/2012	Affymetrix Expression																																													
GTEX-QDVN-1626-SM-48TZC	2	B1	6    ~8.5x3.5mm pieces.  Diffuse interstitial fibrosis with chronic interstitial nephritis	7.3	Kidney	Kidney - Cortex	0-3 hours	BP-20294	RNA isolation_PAXgene Tissue miRNA	11/22/2011	LCSET-3084	04/18/2013	TrueSeq.v1	0.9500323	93861	0.9833994	847	0.9561587	0.91300976	0.29750487	24620	0.6071317	0.78027135	76	57.296917	0.0020377394	290	35912608	78431350	0.01647261	1710110	82027544	3899906	0.6472953	142893	38283583	62128	0.037536312	0	0.07038959	0.58051425	0.87298226	47618160	0.0023036278	16870492	4192684	17247587	319	17263506	10446443	0.0021698317	17287090	50.03413	0.020847997	0.96228504	867	0.39286828	50.55263
GTEX-QDVN-1926-SM-48TZ8	1	B1	2   ~11x5mm aliquots.  Spermatogenesis appears reduced/arrested	7	Testis	Testis	0-3 hours	BP-20294	RNA isolation_PAXgene Tissue miRNA	11/22/2011	LCSET-3084	04/18/2013	TrueSeq.v1	0.93803805	111325	0.96265596	685	0.94549626	0.81282914	0.31582722	29648	0.7811885	0.7547207	76	53.76842	0.0020976297	228	73184707	73205747	0.03717994	1545882	77425738	3676512	0.62346274	156065	35442964	46048	0.025310416	0	0.14982688	0.7386108	0.7685269	57187484	0.0023954103	15430299	3676123	15582686	211	15692723	10199086	0.0022453456	15809327	50.185074	0.019965997	0.9529545	857	0.21881156	50.24568
GTEX-QDVN-2026-SM-2QU4I	1	B1	6    ~6.5x2.5mm pieces; squamous epithelium is  ~1--2% of thickness	6	Skin	Skin - Sun Exposed (Lower leg)	4-7 hours	BP-20294	RNA isolation_Trizol Manual (Cell Pellet)	11/22/2011	GTEX_AffyBatch5_March12	03/29/2012	Affymetrix Expression																																													
GTEX-QDVN-2026-SM-3GAEP	1	B1	6    ~6.5x2.5mm pieces; squamous epithelium is  ~1--2% of thickness	6	Skin	Skin - Sun Exposed (Lower leg)	4-7 hours	BP-20294	RNA isolation_PAXgene Tissue miRNA	11/22/2011	LCSET-2015	09/12/2012	TrueSeq.v1	0.8687698	194888	0.9792085	1699	0.8846593	0.8784381	0.26486856	25441	0.15138687	0.8104099	76	17.782545	0.0020563577	407	8489087	113856277	0.020640248	923170	128700710	8418500	0.6970885	143581	54569569	140760	0.07427671	0	0.10077044	0.1339258	0.77711844	17236346	0.0050985417	23636247	5043966	24112225	377	24555041	18989647	0.0035501288	24935474	50.38435	0.0071729985	0.90054876	715	0.8486131	50.498425
GTEX-QDVN-2126-SM-2I3FR	1	B1	2   ~9x6mm aliquots, one with ~40% fibrous (?scar) tissue	6.3	Adipose Tissue	Adipose - Subcutaneous	4-7 hours	BP-20293	RNA isolation_PAXgene Tissue miRNA	11/22/2011	LCSET-1167_4	04/02/2012	TrueSeq.v1	0.2006313	162515	0.9730357	898	0.2982081	0.84763086	0.32275918	25024	0.64428407	0.7564675	76	32.956814	0.0036528166	152	36699426	48912902	0.026786407	575883	164022724	45048664	0.60402	143752	15881618	67851	0.04048657	0	0.12540476	0.19213073	0.2527704	31513806	0.0061830706	6720438	12445461	6890483	113	13599059	8220844	0.0045039807	13403463	49.637817	0.0035109953	0.39578488	827	0.35571587	50.624664
GTEX-QDVN-2126-SM-2IZIR	1	B1	2   ~9x6mm aliquots, one with ~40% fibrous (?scar) tissue	6.3	Adipose Tissue	Adipose - Subcutaneous	4-7 hours	BP-20293	RNA isolation_PAXgene Tissue miRNA	11/22/2011	GTEx_Batch3Affy_Dec2011	01/13/2012	Affymetrix Expression																																													
GTEX-QDVN-2126-SM-33HBS	1	B1	2   ~9x6mm aliquots, one with ~40% fibrous (?scar) tissue	6.3	Adipose Tissue	Adipose - Subcutaneous	4-7 hours	BP-20293	RNA isolation_PAXgene Tissue miRNA	11/22/2011	LCSET-1668	09/11/2012	TrueSeq.v1	0.5299589	161971	0.97835565	1087	0.53928447	0.8439139	0.24242868	25845	0.32981575	0.81939185	76	29.23204	0.0023733748	284	16546555	96034599	0.021485778	760036	178077808	19548508	0.6525532	146057	45834001	81314	0.041808147	0	0.13444175	0.17786452	0.4551097	31673723	0.0044519617	19991346	4161585	20568284	278	20926043	14871957	0.0033946964	21051863	50.14987	0.0042679994	0.5486101	762	0.67018425	50.71122
GTEX-QDVN-2226-SM-2QU3V	1	B1	2  ~7.5x4mm aliquots, nerve bundles widely dispersed;  ~ 70% both aliquots is interstitial fat	6.5	Nerve	Nerve - Tibial	4-7 hours	BP-20294	RNA isolation_Trizol Manual (Cell Pellet)	11/22/2011	GTEX_AffyBatch5_March12	03/29/2012	Affymetrix Expression																																													
